uei,recipient_name,city,state_code,openalex_id,ror,openalex_name,similarity
HB6KNGVNJRU1,THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,HUNTSVILLE,AL,https://openalex.org/I82495205,https://ror.org/02zsxwr40,University of Alabama in Huntsville,1.0
HD1WMN6945W6,UNIVERSITY OF WASHINGTON,SEATTLE,WA,https://openalex.org/I201448701,https://ror.org/00cvxb145,University of Washington,1.0
HFT7XTHB6563,TEXAS A & M UNIVERSITY SYSTEM HEALTH SCIENCE CENTER,BRYAN,TX,https://openalex.org/I919571938,https://ror.org/03gds6c39,The University of Texas Health Science Center at Houston,0.618
HGAAKCE3A7P7,XAVIER UNIVERSITY OF LOUISIANA,NEW ORLEANS,LA,https://openalex.org/I169251466,https://ror.org/0085d9t86,Xavier University of Louisiana,1.0
HH1NQ1B5MPV3,MARSHALL UNIVERSITY RESEARCH CORPORATION,HUNTINGTON,WV,https://openalex.org/I88694374,https://ror.org/02erqft81,Marshall University,0.723
HJD6G4D6TJY5,THE LELAND STANFORD JUNIOR UNIVERSITY,STANFORD,CA,https://openalex.org/I97018004,https://ror.org/00f54p054,Stanford University,1.0
HJMKEF7EJW69,CASE WESTERN RESERVE UNIVERSITY,CLEVELAND,OH,https://openalex.org/I58956616,https://ror.org/051fd9666,Case Western Reserve University,1.0
HJNQME41NBU4,WORCESTER POLYTECHNIC INSTITUTE,WORCESTER,MA,https://openalex.org/I107077323,https://ror.org/05ejpqr48,Worcester Polytechnic Institute,1.0
HJTLACN81NK1,OAKLAND UNIVERSITY,ROCHESTER,MI,https://openalex.org/I177721651,https://ror.org/01ythxj32,Oakland University,1.0
HKJCKTFJNBM7,MARQUETTE UNIVERSITY,MILWAUKEE,WI,https://openalex.org/I102461120,https://ror.org/04gr4te78,Marquette University,1.0
HLTMVS2JZBS6,NORTHEASTERN UNIVERSITY,BOSTON,MA,https://openalex.org/I12912129,https://ror.org/04t5xt781,Northeastern University,1.0
HMSNCM57QNR5,FRED HUTCHINSON CANCER RESEARCH CENTER,SEATTLE,WA,https://openalex.org/I4210089486,https://ror.org/007ps6h72,Fred Hutch Cancer Center,0.826
HS5HWWK1AAU5,TEXAS STATE UNIVERSITY,SAN MARCOS,TX,https://openalex.org/I13511017,https://ror.org/05h9q1g27,Texas State University,1.0
HTQ6K6NJFHA6,BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,LINCOLN,NE,https://openalex.org/I2802450327,https://ror.org/0238rvs44,University of Nebraska System,1.0
HWPEKM8VFTJ9,EAST CAROLINA UNIVERSITY,GREENVILLE,NC,https://openalex.org/I186335123,https://ror.org/01vx35703,East Carolina University,1.0
HYN3WD58HNN7,THE RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK,SYRACUSE,NY,https://openalex.org/I4210111819,https://ror.org/01sfc5174,Research Foundation for the State University of New York,1.0
HYWTVM5HNFM3,BOISE STATE UNIVERSITY,BOISE,ID,https://openalex.org/I120156002,https://ror.org/02e3zdp86,Boise State University,1.0
HYYJJ5ZP7CR9,TEXAS SOUTHERN UNIVERSITY,HOUSTON,TX,https://openalex.org/I48205209,https://ror.org/05ch0aw77,Texas Southern University,1.0
HZJ2JZUALWN4,NEW MEXICO INSTITUTE OF MINING AND TECHNOLOGY,SOCORRO,NM,https://openalex.org/I207123951,https://ror.org/005p9kw61,New Mexico Institute of Mining and Technology,1.0
J19ZXYATJLT3,TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,PHOENIX,AZ,https://openalex.org/I1284308235,https://ror.org/02hfpnk21,Translational Genomics Research Institute,1.0
J22LNTMEDP73,UNIVERSITY OF SOUTH CAROLINA,COLUMBIA,SC,https://openalex.org/I155781252,https://ror.org/02b6qw903,University of South Carolina,1.0
J3M5GZAT8N85,NEW MEXICO STATE UNIVERSITY,LAS CRUCES,NM,https://openalex.org/I10052268,https://ror.org/00hpz7z43,New Mexico State University,1.0
J3Z5MNJJ3FZ4,MAGEE-WOMENS RESEARCH INSTITUTE AND FOUNDATION,PITTSBURGH,PA,https://openalex.org/I4210097282,https://ror.org/00rnw4e09,Magee-Womens Research Institute,1.0
J4EYPCJDQ1H6,TEXAS BIOMEDICAL RESEARCH INSTITUTE,SAN ANTONIO,TX,https://openalex.org/I1289525096,https://ror.org/00wbskb04,Texas Biomedical Research Institute,1.0
J6TWTRKC1X14,ROCHESTER INSTITUTE OF TECHNOLOGY,ROCHESTER,NY,https://openalex.org/I155173764,https://ror.org/00v4yb702,Rochester Institute of Technology,1.0
J7WULLYGFRH1,WESTERN MICHIGAN UNIVERSITY,KALAMAZOO,MI,https://openalex.org/I141649380,https://ror.org/04j198w64,Western Michigan University,1.0
J9CDGR596MN3,THE CURATORS OF THE UNIVERSITY OF MISSOURI,KANSAS CITY,MO,https://openalex.org/I76835614,https://ror.org/02ymw8z06,University of Missouri,0.723
JB33DT84JNA5,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,CHARLOTTE,NC,https://openalex.org/I102149020,https://ror.org/04dawnj30,University of North Carolina at Charlotte,1.0
JBQ9M3PLFDP5,UNIVERSITY OF WISCONSIN SYSTEM,MILWAUKEE,WI,https://openalex.org/I1304256225,https://ror.org/03ydkyb10,University of Wisconsin System,1.0
JDLVAVGYJQ21,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,BOSTON,MA,https://openalex.org/I145311948,https://ror.org/00za53h95,Harvard University,manual
JE8AKPCR2KA4,THE UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER AT FORT WORTH,FORT WORTH,TX,https://openalex.org/I165139151,https://ror.org/05msxaq47,University of North Texas Health Science Center,0.806
JF2BLNN4PJC3,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,https://openalex.org/I103163165,https://ror.org/05g3dte14,Florida State University,1.0
JF6XLNB4CDJ5,TEXAS A & M UNIVERSITY,COLLEGE STATION,TX,https://openalex.org/I91045830,https://ror.org/01f5ytq51,Texas A&M University,0.581
JGA3E25MFDV9,"CLARK ATLANTA UNIVERSITY, INC.",ATLANTA,GA,https://openalex.org/I52064589,https://ror.org/0397tsa92,Clark Atlanta University,0.812
JHTYTGKYWLL9,UNIVERSITY OF MARYLAND CENTER FOR ENVIRONMENTAL SCIENCE,CAMBRIDGE,MD,https://openalex.org/I149521062,https://ror.org/04dqdxm60,University of Maryland Center for Environmental Science,1.0
JJ6CN5Y5A2R5,THE TRUSTEES OF THE STEVENS INSTITUTE OF TECHNOLOGY,HOBOKEN,NJ,https://openalex.org/I108468826,https://ror.org/02z43xh36,Stevens Institute of Technology,1.0
JJDYK36PRTL5,CENTRAL MICHIGAN UNIVERSITY,MOUNT PLEASANT,MI,https://openalex.org/I1629065,https://ror.org/02xawj266,Central Michigan University,1.0
JJG6HU8PA4S5,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,CHARLOTTESVILLE,VA,https://openalex.org/I51556381,https://ror.org/0153tk833,University of Virginia,0.511
JJHCMK4NT5N3,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE PARK,NC,https://openalex.org/I180297670,https://ror.org/052tfza37,RTI International,1.0
JJKGF97BMBE1,MONTANA TECHNOLOGICAL UNIVERSITY,BUTTE,MT,https://openalex.org/I917168660,https://ror.org/03ttqt747,Montana Technological University,1.0
JKKNZLNYLJ19,WICHITA STATE UNIVERSITY,WICHITA,KS,https://openalex.org/I39587148,https://ror.org/00c4e7y75,Wichita State University,1.0
JL4JHE9SDRR3,ST JUDE CHILDREN'S RESEARCH HOSPITAL INC,MEMPHIS,TN,https://openalex.org/I1313298211,https://ror.org/02r3e0967,St. Jude Children's Research Hospital,0.795
JNBLLTBTLLD8,SAINT LOUIS UNIVERSITY,SAINT LOUIS,MO,https://openalex.org/I47838141,https://ror.org/01p7jjy08,Saint Louis University,1.0
JQH2GEMCAVN5,GEISINGER CLINIC,DANVILLE,PA,https://openalex.org/I54713919,https://ror.org/02qdbgx97,Geisinger Health System,0.475
JTFKX11JLHS8,UNIVERSITY OF THE VIRGIN ISLANDS,ST THOMAS,VI,https://openalex.org/I17001226,https://ror.org/034amfs97,University of the Virgin Islands,1.0
JW2NGMP4NMA3,TRUSTEES OF THE COLORADO SCHOOL OF MINES,GOLDEN,CO,https://openalex.org/I167576493,https://ror.org/04raf6v53,Colorado School of Mines,1.0
JW7MLW3RRK34,"OAK RIDGE ASSOCIATED UNIVERSITIES, INCORPORATED",OAK RIDGE,TN,https://openalex.org/I1281378812,https://ror.org/0526p1y61,Oak Ridge Associated Universities,0.814
JWSYC7RUMJD1,BRIGHAM YOUNG UNIVERSITY,PROVO,UT,https://openalex.org/I100005738,https://ror.org/047rhhm47,Brigham Young University,1.0
JZ8RQC4EMDZ5,BOSTON MEDICAL CENTER CORPORATION,BOSTON,MA,https://openalex.org/I1286490081,https://ror.org/010b9wj87,Boston Medical Center,1.0
JZD1HLM2ZU83,CHILDRENS HOSPITAL MEDICAL CENTER,CINCINNATI,OH,https://openalex.org/I1285204247,https://ror.org/01hcyya48,Cincinnati Children's Hospital Medical Center,0.638
JZDRNT166LE4,"VERSITI BLOOD HEALTH, INC.",MILWAUKEE,WI,https://openalex.org/I4210117001,https://ror.org/02sjnfb25,Versiti Blood Center of Wisconsin,0.476
K49BLGJHG935,CPWR: THE CENTER FOR CONSTRUCTION RESEARCH AND TRAINING,SILVER SPRING,MD,https://openalex.org/I4210113549,https://ror.org/01xnhsa91,Center for Construction Research and Training,0.85
K4FYB2EJVL32,ARKANSAS CHILDREN'S RESEARCH INSTITUTE,LITTLE ROCK,AR,https://openalex.org/I1301864278,,Arkansas Children's Hospital,manual
K51LECU1G8N3,WILLIAM MARSH RICE UNIVERSITY,HOUSTON,TX,https://openalex.org/I74775410,https://ror.org/008zs3103,Rice University,1.0
KABJZBBJ4B54,REGENTS OF THE UNIVERSITY OF MINNESOTA,MINNEAPOLIS,MN,https://openalex.org/I130238516,https://ror.org/017zqws13,University of Minnesota,1.0
KD5TGBT7AKC9,THE MIRIAM HOSPITAL,PROVIDENCE,RI,https://openalex.org/I2800640726,https://ror.org/053exzj86,Miriam Hospital,1.0
KG76WYENL5K1,NORTHWESTERN UNIVERSITY,EVANSTON,IL,https://openalex.org/I111979921,https://ror.org/000e0be47,Northwestern University,1.0
KH6NJ6ND8737,J.DAVID GLADSTONE INSTITUTES,SAN FRANCISCO,CA,https://openalex.org/I1321430492,https://ror.org/038321296,Gladstone Institutes,0.733
KMH5K9V7S518,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE",SAN FRANCISCO,CA,https://openalex.org/I180670191,https://ror.org/043mz5j54,"University of California, San Francisco",1.0
KMZBB7SJBP72,"CONSORTIUM FOR OCEAN LEADERSHIP, INC.",WASHINGTON,DC,https://openalex.org/I4210110682,https://ror.org/01wn80b84,Consortium For Ocean Leadership,0.816
KSJKE3KVNBB4,HAMPTON UNIVERSITY,HAMPTON,VA,https://openalex.org/I151328261,https://ror.org/05fde5z47,Hampton University,1.0
KU3DCFJJTVN3,TEXAS A&M AGRILIFE RESEARCH,COLLEGE STATION,TX,https://openalex.org/I91045830,https://ror.org/01f5ytq51,Texas A&M University,0.444
KUKXRCZ6NZC2,SLOAN-KETTERING INSTITUTE FOR CANCER RESEARCH,NEW YORK,NY,https://openalex.org/I1334819555,,Memorial Sloan Kettering Cancer Center,manual
KULSKCCZJT27,MORGAN STATE UNIVERSITY,BALTIMORE,MD,https://openalex.org/I83909951,https://ror.org/017d8gk22,Morgan State University,1.0
KWTAB1GYM4L9,UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CAMPUS,SAN JUAN,PR,https://openalex.org/I158818660,https://ror.org/00h25w961,"University of Puerto Rico, Medical Sciences Campus",1.0
KXN7HGCF6K91,UNIVERSITY OF MIAMI,MIAMI,FL,https://openalex.org/I145608581,https://ror.org/02dgjyy92,University of Miami,1.0
KXNVA7JCC5K6,KENT STATE UNIVERSITY,KENT,OH,https://openalex.org/I149910238,https://ror.org/049pfb863,Kent State University,1.0
KZNHNMDUTJA5,TENNESSEE TECHNOLOGICAL UNIVERSITY,COOKEVILLE,TN,https://openalex.org/I63920570,https://ror.org/05drmrq39,Tennessee Technological University,1.0
L1DXXP1KGP77,NORTH CAROLINA CENTRAL UNIVERSITY,DURHAM,NC,https://openalex.org/I123127086,https://ror.org/051r3tx83,North Carolina Central University,1.0
L3ATVUT2KNK7,THE UNIVERSITY OF TEXAS RIO GRANDE VALLEY,EDINBURG,TX,https://openalex.org/I2802326326,https://ror.org/02p5xjf12,The University of Texas Rio Grande Valley,1.0
L4EEW9SQX2F6,"PUBLIC HEALTH FOUNDATION ENTERPRISES, INC.",LA PUENTE,CA,https://openalex.org/I4210131503,https://ror.org/03t7m8092,Public Health Foundation Enterprises,0.814
L6NFUM28LQM5,"WASHINGTON UNIVERSITY, THE",SAINT LOUIS,MO,https://openalex.org/I201448701,https://ror.org/00cvxb145,University of Washington,0.79
L952KGDMSLV5,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,NEW YORK,NY,https://openalex.org/I4210103622,https://ror.org/01d03cj21,Research Foundation of The City University of New York,1.0
LAGNHMC58DF3,THE UNIVERSITY CORPORATION,NORTHRIDGE,CA,https://openalex.org/I181134585,https://ror.org/01xhcza12,University of the West,0.62
LCLSJAGTNZQ7,UNIVERSITY OF WISCONSIN SYSTEM,MADISON,WI,https://openalex.org/I1304256225,https://ror.org/03ydkyb10,University of Wisconsin System,1.0
LFDKLGTB62C4,"ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY, INC.",TUCSON,AZ,https://openalex.org/I1313867356,https://ror.org/02y5f7c97,Association of Universities for Research in Astronomy,0.858
LGHBJMLVD8H3,"THE HOSPITAL FOR SPECIAL SURGERY FUND, INC.",NEW YORK,NY,https://openalex.org/I1281539108,https://ror.org/03zjqec80,Hospital for Special Surgery,0.812
LHGDNJMZ64Y1,ROCKEFELLER UNIVERSITY,NEW YORK,NY,https://openalex.org/I83399316,https://ror.org/0420db125,Rockefeller University,1.0
LJBXV5VF2BT9,SAN JOSE STATE UNIVERSITY RESEARCH FOUNDATION,SAN JOSE,CA,https://openalex.org/I51504820,https://ror.org/04qyvz380,San Jose State University,0.819
LL8GLEVH6MG3,UNIVERSITY OF UTAH,SALT LAKE CITY,UT,https://openalex.org/I223532165,https://ror.org/03r0ha626,University of Utah,1.0
LLABHNB9ABM4,UNIVERSITY OF PUERTO RICO,SAN JUAN,PR,https://openalex.org/I200399037,https://ror.org/02yg0nm07,University of Puerto Rico System,1.0
LLLYTJ6LYD21,DARTMOUTH-HITCHCOCK CLINIC,LEBANON,NH,https://openalex.org/I4210100835,https://ror.org/0145t7b41,Cheshire Medical Center,0.629
LMCJKRFW5R81,THE RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK,BUFFALO,NY,https://openalex.org/I4210111819,https://ror.org/01sfc5174,Research Foundation for the State University of New York,1.0
LMF5HEYNM148,PONCE MEDICAL SCHOOL FOUNDATION INC,PONCE,PR,https://openalex.org/I163086451,,Ponce Health Sciences University,manual
LMLUKUPJJ9N3,UNIVERSITY OF TEXAS AT ARLINGTON,ARLINGTON,TX,https://openalex.org/I189196454,https://ror.org/019kgqr73,The University of Texas at Arlington,1.0
LN53LCFJFL45,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,CAMBRIDGE,MA,https://openalex.org/I145311948,https://ror.org/00za53h95,Harvard University,manual
LNGXAKMH8J26,AVERA MCKENNAN,SIOUX FALLS,SD,https://openalex.org/I4210152391,,Avera McKennan Hospital & University Health Center,manual
LQK1DD1EYZK9,"HEALTH RESEARCH, INC.",ALBANY,NY,https://openalex.org/I4405266904,https://ror.org/00a0rwr60,"Thorne HealthTech, Inc. (United States)",0.62
LT9CXX8L19G1,COLORADO STATE UNIVERSITY,FORT COLLINS,CO,https://openalex.org/I92446798,https://ror.org/03k1gpj17,Colorado State University,1.0
LTJVF4QSFCP9,LUNDQUIST INSTITUTE FOR BIOMEDICAL INNOVATION AT HARBOR-UCLA MEDICAL CENTER,TORRANCE,CA,https://openalex.org/I177607063,https://ror.org/025j2nd68,The Lundquist Institute,0.601
LTNVSTJ3R6D5,UNIVERSITY OF MASSACHUSETTS LOWELL,LOWELL,MA,https://openalex.org/I133738476,https://ror.org/03hamhx47,University of Massachusetts Lowell,1.0
LV8GL8MLU9A3,HMH HOSPITALS CORPORATION,EDISON,NJ,https://openalex.org/I4210148589,,Hackensack Meridian Health,manual
LWLJAPATKEL8,SIMONS LAUFER MATHEMATICAL SCIENCES INSTITUTE,BERKELEY,CA,https://openalex.org/I73544541,https://ror.org/05hs5r386,Mathematical Sciences Research Institute,0.592
LXCNYLGGX6N7,"NEW YORK BLOOD CENTER, INC",NEW YORK,NY,https://openalex.org/I1343675862,https://ror.org/01xvcf081,New York Blood Center,1.0
LXEJEU58YZG6,BUTLER HOSPITAL,PROVIDENCE,RI,https://openalex.org/I2802060973,https://ror.org/00z9zsj19,Butler Hospital,1.0
LXHMMWRKN5N8,OHIO UNIVERSITY,ATHENS,OH,https://openalex.org/I4210106879,https://ror.org/01jr3y717,Ohio University,1.0
LZYFSK879778,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC.",BRONX,NY,https://openalex.org/I129975664,https://ror.org/05cf8a891,Albert Einstein College of Medicine,0.851
M1K8LJAET5R1,THE UNIVERSITY OF SOUTHERN MISSISSIPPI,HATTIESBURG,MS,https://openalex.org/I44854399,https://ror.org/0270vfa57,University of Southern Mississippi,1.0
M1LVPE5GLSD9,"RUTGERS, THE STATE UNIVERSITY",NEW BRUNSWICK,NJ,https://openalex.org/I102322142,https://ror.org/05vt9qd57,"Rutgers, The State University of New Jersey",0.743
M2EEE68GGCY9,NORTHERN ILLINOIS UNIVERSITY,DEKALB,IL,https://openalex.org/I102502594,https://ror.org/012wxa772,Northern Illinois University,1.0
M2XKLRTA9G44,THE MARINE BIOLOGICAL LABORATORY,WOODS HOLE,MA,https://openalex.org/I1338920048,https://ror.org/046dg4z72,Marine Biological Laboratory,1.0
M3GAQBN4BWH6,HUDSONALPHA INSTITUTE FOR BIOTECHNOLOGY,HUNTSVILLE,AL,https://openalex.org/I4210145894,https://ror.org/04nz0wq19,HudsonAlpha Institute for Biotechnology,1.0
M3KHEEYRM1S6,CHILDREN'S RESEARCH INSTITUTE,WASHINGTON,DC,https://openalex.org/I1336742384,,Children's National,manual
M5QFLTCTSQN6,CLEVELAND CLINIC LERNER COLLEGE OF MEDICINE OF CASE WESTERN RESERVE UNIVERSITY,CLEVELAND,OH,https://openalex.org/I36373038,https://ror.org/02x4b0932,Cleveland Clinic Lerner College of Medicine,0.9
M5SZJ6VHUHN8,NEW YORK UNIVERSITY,NEW YORK,NY,https://openalex.org/I57206974,https://ror.org/0190ak572,New York University,1.0
M6K6NTJ2MNE5,WAYNE STATE UNIVERSITY,DETROIT,MI,https://openalex.org/I185443292,https://ror.org/01070mq45,Wayne State University,1.0
M746VC6XMNH9,THE RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK,STONY BROOK,NY,https://openalex.org/I4210111819,https://ror.org/01sfc5174,Research Foundation for the State University of New York,1.0
M7KCJ79FAVH5,LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER NEW ORLEANS,NEW ORLEANS,LA,https://openalex.org/I75420490,https://ror.org/01qv8fp92,Louisiana State University Health Sciences Center New Orleans,1.0
M7PNRH24BBM8,WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,MORGANTOWN,WV,https://openalex.org/I12097938,https://ror.org/011vxgd24,West Virginia University,0.787
M9ACC5DQCNL6,UNIVERSITY OF TOLEDO,TOLEDO,OH,https://openalex.org/I90871651,https://ror.org/01pbdzh19,University of Toledo,1.0
MAYKB1LWD5U9,MAINEHEALTH,PORTLAND,ME,https://openalex.org/I4210102705,https://ror.org/017xncd55,MaineHealth,1.0
MBD2CZMR5N48,"UNAVCO, INC",BOULDER,CO,https://openalex.org/I4430876,https://ror.org/02n9tn974,UNAVCO,1.0
MBKKNQM9QME3,ENDEAVOR HEALTH CLINICAL OPERATIONS,EVANSTON,IL,https://openalex.org/I1339509835,https://ror.org/04tpp9d61,Endeavor Health,1.0
MBU6HCLNZ431,WAKE FOREST UNIVERSITY,WINSTON SALEM,NC,https://openalex.org/I47251452,https://ror.org/0207ad724,Wake Forest University,1.0
MC4RJJM9XLT5,CAL POLY CORPORATION,SAN LUIS OBISPO,CA,https://openalex.org/I149919469,https://ror.org/001gpfp45,California Polytechnic State University,1.0
MCKWJYCWNVN3,THE MCLEAN HOSPITAL CORPORATION,BELMONT,MA,https://openalex.org/I2801148111,https://ror.org/01kta7d96,McLean Hospital,1.0
MECEHTM8DB17,UNIVERSITY OF ARKANSAS,FAYETTEVILLE,AR,https://openalex.org/I2799691083,https://ror.org/05vvhh982,University of Arkansas System,1.0
MG5BM5RM42J9,"RUTGERS, THE STATE UNIVERSITY",PISCATAWAY,NJ,https://openalex.org/I102322142,https://ror.org/05vt9qd57,"Rutgers, The State University of New Jersey",0.743
MGUCX773RNJ8,"SCRIPPS RESEARCH INSTITUTE, THE",JUPITER,FL,https://openalex.org/I123431417,https://ror.org/02dxx6824,Scripps Research Institute,1.0
MJ3JH8CRJBZ7,TRUSTEES OF BOSTON COLLEGE,CHESTNUT HILL,MA,https://openalex.org/I103531236,https://ror.org/02n2fzt79,Boston College,1.0
MJC5FCYQTPE6,UNIVERSITY OF CALIFORNIA IRVINE,IRVINE,CA,https://openalex.org/I204250578,https://ror.org/04gyf1771,"University of California, Irvine",1.0
MJL7LEL4B6M6,NORTHEAST OHIO MEDICAL UNIVERSITY,ROOTSTOWN,OH,https://openalex.org/I95240055,https://ror.org/04q9qf557,Northeast Ohio Medical University,1.0
MKAGLD59JRL1,UNIVERSITY OF PITTSBURGH - OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,PITTSBURGH,PA,https://openalex.org/I170201317,https://ror.org/01an3r305,University of Pittsburgh,1.0
MLQFL4JSSAA9,VIRGINIA COMMONWEALTH UNIVERSITY,RICHMOND,VA,https://openalex.org/I184840846,https://ror.org/02nkdxk79,Virginia Commonwealth University,1.0
MND6UJJX4PB3,PACIFIC INSTITUTE FOR RESEARCH & EVALUATION,BELTSVILLE,MD,https://openalex.org/I4210115156,https://ror.org/01jfr3w16,Pacific Institute For Research and Evaluation,0.869
MNJ3PQ7MXFN6,"RUTGERS, THE STATE UNIVERSITY",PISCATAWAY,NJ,https://openalex.org/I102322142,https://ror.org/05vt9qd57,"Rutgers, The State University of New Jersey",0.743
MNJDKB4FXLM6,THE AMERICAN MUSEUM OF NATURAL HISTORY,NEW YORK,NY,https://openalex.org/I1338124936,https://ror.org/03thb3e06,American Museum of Natural History,1.0
MNS7B9CVKDN7,GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION INC,ATLANTA,GA,https://openalex.org/I181565077,https://ror.org/03qt6ba18,Georgia State University,0.787
MPYFY5UMSDP4,NATIONAL OPINION RESEARCH CENTER,CHICAGO,IL,https://openalex.org/I4210117923,https://ror.org/02f0bym65,National Opinion Research Center,1.0
MQE2JHHJW9Q8,UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,WORCESTER,MA,https://openalex.org/I166722992,https://ror.org/0464eyp60,University of Massachusetts Chan Medical School,1.0
MR5QC5FCAVH5,REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE,RIVERSIDE,CA,https://openalex.org/I103635307,https://ror.org/03nawhv43,"University of California, Riverside",1.0
MR7ZQXJSQKA5,U.S. CIVILIAN RESEARCH AND DEVELOPMENT FOUNDATION,ARLINGTON,VA,https://openalex.org/I2802598629,https://ror.org/01zpbb709,CRDF Global,0.818
MSPWVMXXMN76,UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON,GALVESTON,TX,https://openalex.org/I55302922,https://ror.org/016tfm930,The University of Texas Medical Branch at Galveston,1.0
MV9GTK4QFA99,HENNEPIN HEALTHCARE RESEARCH INSTITUTE,MINNEAPOLIS,MN,https://openalex.org/I4210152469,https://ror.org/05v1amx46,Hennepin Healthcare Research Institute,1.0
MVRJYL6A9VF1,DONALD DANFORTH PLANT SCIENCE CENTER,SAINT LOUIS,MO,https://openalex.org/I2799511691,https://ror.org/000cyem11,Donald Danforth Plant Science Center,1.0
MW8JHK6ZYEX8,THE REGENTS OF THE UNIVERSITY OF COLORADO,AURORA,CO,https://openalex.org/I2802236040,https://ror.org/00jc20583,University of Colorado System,1.0
MWYVQTQ32ME5,PENNINGTON BIOMEDICAL RESEARCH CENTER,BATON ROUGE,LA,https://openalex.org/I103990859,https://ror.org/040cnym54,Pennington Biomedical Research Center,1.0
MX8ULDF6SDD6,"LAUREATE INSTITUTE FOR BRAIN RESEARCH, INC.",TULSA,OK,https://openalex.org/I4210159521,https://ror.org/05e6pjy56,Laureate Institute for Brain Research,0.852
MXHAS3AKPRN1,NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,AZ,https://openalex.org/I203172682,https://ror.org/0272j5188,Northern Arizona University,1.0
MXLZGAMFEKN5,BRANDEIS UNIVERSITY,WALTHAM,MA,https://openalex.org/I6902469,https://ror.org/05abbep66,Brandeis University,1.0
MY2ERHGDV956,"TUFTS MEDICAL CENTER PARENT, INC.",BOSTON,MA,https://openalex.org/I1290900354,https://ror.org/002hsbm82,Tufts Medical Center,0.668
MZ4DYXE1SL98,OREGON STATE UNIVERSITY,CORVALLIS,OR,https://openalex.org/I131249849,https://ror.org/00ysfqy60,Oregon State University,1.0
MZ9DFVC2J1B7,"ADA FORSYTH INSTITUTE, INC.",SOMERVILLE,MA,https://openalex.org/I4405268108,https://ror.org/05tr9gt18,The Forsyth Institute,0.807
N4WWJC8T2593,"AUGUSTA UNIVERSITY RESEARCH INSTITUTE, INC",AUGUSTA,GA,https://openalex.org/I4210087454,https://ror.org/007rawr89,Augusta University Health,0.524
N52NHWMBZNG5,CHILDRENS MERCY HOSPITAL,KANSAS CITY,MO,https://openalex.org/I1328594524,https://ror.org/04zfmcq84,Children's Mercy Hospital,0.692
N63ZMY7UETA3,TENNESSEE STATE UNIVERSITY,NASHVILLE,TN,https://openalex.org/I75256744,https://ror.org/01fpczx89,Tennessee State University,1.0
N876TLXYGCG4,RHODE ISLAND HOSPITAL,PROVIDENCE,RI,https://openalex.org/I2800446032,https://ror.org/01aw9fv09,Rhode Island Hospital,1.0
NA7AKMLK2BM1,MASSACHUSETTS EYE AND EAR INFIRMARY,BOSTON,MA,https://openalex.org/I1287163989,https://ror.org/04g3dn724,Massachusetts Eye and Ear Infirmary,1.0
NCSMA19DF7E6,CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CA,https://openalex.org/I1282927834,https://ror.org/02pammg90,Cedars-Sinai Medical Center,1.0
NFHEUCKBFMU4,ALLEN INSTITUTE,SEATTLE,WA,https://openalex.org/I4210140341,https://ror.org/03cpe7c52,Allen Institute,1.0
NGCNCJ1X6XA4,OKLAHOMA MEDICAL RESEARCH FOUNDATION,OKLAHOMA CITY,OK,https://openalex.org/I30558944,https://ror.org/035z6xf33,Oklahoma Medical Research Foundation,1.0
NH64NT271S93,CREIGHTON UNIVERSITY,OMAHA,NE,https://openalex.org/I114493937,https://ror.org/05wf30g94,Creighton University,1.0
NH77YPDEGG84,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,https://openalex.org/I87216513,https://ror.org/05hs6h993,Michigan State University,1.0
NHH3T1Z96H29,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",ALBANY,NY,https://openalex.org/I4210111819,https://ror.org/01sfc5174,Research Foundation for the State University of New York,1.0
