uei,lat,lon
E4SPG9ZLLE76,32.7157096862793,-117.16471862792969
J4EYPCJDQ1H6,29.42411994934082,-98.4936294555664
PB3AJE5ZEJ59,44.7988395690918,-68.77265167236328
JB33DT84JNA5,35.22709,-80.84313
CL7KJX2VFHS9,37.215328216552734,-93.2982406616211
HWPEKM8VFTJ9,35.61266,-77.36635
PHMKYKKJLQS1,32.90142059326172,-117.24195861816406
SKG7TLUN8JH6,39.9523811340332,-75.16361999511719
EVWJPCY6AD97,37.27069854736328,-76.70745849609375
EZ4WPGRE1RD5,46.87719,-96.7898
G6VVMPNK4Y48,42.65258,-73.75623
SSUJB3GSH8A5,38.97167,-95.23525
HS5HWWK1AAU5,29.883270263671875,-97.94139099121094
MSPWVMXXMN76,29.30135,-94.7977
WLDGTNCFFJZ3,39.52962875366211,-119.81379699707031
DLTJBDQBGBC9,36.165889739990234,-86.78443908691406
CJAJYT2KW771,44.08053970336914,-103.23101043701172
VLQKFEEJ3NE9,39.73915100097656,-104.98470306396484
QKWEF8XLMTT3,29.76328,-95.36327
C31ES3WEAVQ5,38.93688201904297,-76.99869537353516
HH1NQ1B5MPV3,38.41925048828125,-82.44515228271484
YY46Q97AEZA8,34.00959777832031,-118.49066925048828
V6AFQPN18437,30.26715,-97.74306
E13MDBKHLDB5,40.62593078613281,-75.3704605102539
JZDRNT166LE4,43.0323600769043,-88.0238265991211
Y3RET2XN41S5,27.800579071044922,-97.39637756347656
DW1XZMGNFBL4,39.9523811340332,-75.16361999511719
G1THVER8BNL4,34.36650085449219,-89.51924896240234
G7MQPLSUX1L4,39.9523811340332,-75.16361999511719
TJFZLPP6NYL6,47.60621,-122.33207
EN9DMTETW3N1,33.78778839111328,-117.85311126708984
SB35ENJFKK14,33.44837951660156,-112.07404327392578
U3ZFA57417D4,48.75955,-122.48822
M2EEE68GGCY9,41.92947006225586,-88.75035858154297
H1HYA8Z1NTM5,37.98869,-84.47772
DVL1CMRMWRN9,34.05223083496094,-118.24368286132812
YDQLHSMTBZ24,28.083629608154297,-80.60810852050781
MCKWJYCWNVN3,42.39365768432617,-71.19107818603516
JL4JHE9SDRR3,35.14953,-90.04898
QLRCUJ8JTN53,42.96950149536133,-85.66699981689453
G192A9HR62S5,41.03582763671875,-73.75983428955078
T6J6AF3AM8M8,39.50699996948242,-84.74523162841797
RN64EPNH8JC6,34.05223,-118.24368
HTQ6K6NJFHA6,40.8,-96.66696
N4WWJC8T2593,33.47114562988281,-81.98999786376953
NGCNCJ1X6XA4,35.4827766418457,-97.49722290039062
RQMFJGDTQ5V3,25.72149,-80.26838
CFMMM5JM7HJ9,39.18361,-96.57167
NH64NT271S93,41.25625991821289,-95.9404296875
SGBMHQ7VXNH5,40.735660552978516,-74.17237091064453
JHTYTGKYWLL9,38.56317138671875,-76.07882690429688
C4BXLBC11LC6,43.048118591308594,-76.14742279052734
M7KCJ79FAVH5,29.95465,-90.07507
DMQNDJDHTDG4,32.60986,-85.48078
E1KJM4T54MK6,38.25423812866211,-85.75940704345703
NZBMKZMW68N3,38.895111083984375,-77.03636932373047
L4EEW9SQX2F6,34.030094146728516,-118.02519226074219
HYYJJ5ZP7CR9,29.76328,-95.36327
YVVTQD8CJC79,40.48622,-74.45182
DLUTVJJ15U66,39.52962875366211,-119.81379699707031
HMSNCM57QNR5,47.60621,-122.33207
G15AG3BLLMH4,40.8,-96.66696
KXN7HGCF6K91,25.72149,-80.26838
T3NGNR66YK89,40.48622,-74.45182
FZRNFQTKADH1,40.8,-96.66696
F8THLJQSAF93,25.72149,-80.26838
QL3ZB67MLJL5,40.48622,-74.45182
QHHJD3X516J9,40.48622,-74.45182
MNJ3PQ7MXFN6,40.48622,-74.45182
MG5BM5RM42J9,40.48622,-74.45182
M1LVPE5GLSD9,40.48622,-74.45182
EJMHW8SL81L7,40.48622,-74.45182
HKJCKTFJNBM7,43.0389,-87.90647
QDE5UHE5XD16,37.22957,-80.41394
GT28BRBA2Q49,42.375099182128906,-71.1056137084961
VUYJL5Q7YCZ3,41.810279846191406,-71.41088104248047
YND4PLMC9AN7,33.52066,-86.80249
DNZNC466DGR7,44.31135940551758,-96.79839324951172
NPH1VN32EWN5,34.69804,-118.13674
MJL7LEL4B6M6,41.15755844116211,-81.24205017089844
KABJZBBJ4B54,44.97997,-93.26384
S3GMKS8ELA16,29.76328,-95.36327
WKPTJDWG2C68,40.714271545410156,-74.00596618652344
EYNYSU6L8ZX6,40.04622,-75.35991
GY8NMUZQXVS7,35.22257,-97.43948
WNN6VH618X58,28.083629608154297,-80.60810852050781
GBNGC495XA67,42.98719024658203,-71.4687728881836
MXHAS3AKPRN1,35.19807052612305,-111.6512680053711
EMW9FC8J3HN4,33.749,-84.38798
LNGXAKMH8J26,43.53458786010742,-96.71378326416016
K49BLGJHG935,38.99066925048828,-77.02609252929688
WS29EMGEVEJ4,43.125972747802734,-77.6127700805664
U46RJM97ML83,44.38758,-68.2039
ZUE9HKT2CLC9,41.85003,-87.65005
HJTLACN81NK1,42.68059158325195,-83.13381958007812
J19ZXYATJLT3,33.44837951660156,-112.07404327392578
H1TYS4PK8EC5,41.264442443847656,-96.13277435302734
C1CPANL3EWK4,42.339786529541016,-71.10518646240234
MV9GTK4QFA99,44.9799690246582,-93.26383972167969
LHGDNJMZ64Y1,40.714271545410156,-74.00596618652344
H5G9NWEFHXN4,42.3751,-71.10561
QWYKRJH5NNJ3,46.732391357421875,-117.00016784667969
KD5TGBT7AKC9,41.852325439453125,-71.39766693115234
U44ZMVYU52U6,29.42412,-98.49363
J7WULLYGFRH1,42.29171,-85.58723
FTAAW94S6LC6,30.09327,-95.98773
JW7MLW3RRK34,36.01036071777344,-84.26963806152344
SKX6AXF9ZTM3,37.77653884887695,-122.39203643798828
GFKFBWG2TV98,41.55149841308594,-70.61475372314453
PMMKPCKNN9R2,41.63899,-70.97032
C3KXNLTAAY98,29.42412,-98.49363
TP7EK8DZV6N5,35.99403,-78.89862
MLQFL4JSSAA9,37.55376,-77.46026
DKMDCB5HNBL7,39.33550262451172,-76.65545654296875
MJC5FCYQTPE6,33.66946,-117.82311
L3ATVUT2KNK7,26.301740646362305,-98.16333770751953
MXLZGAMFEKN5,42.37649154663086,-71.23561096191406
HJNQME41NBU4,42.26259,-71.80229
Z94KLERAG5V9,44.47588,-73.21207
H59JKGFZKHL7,32.7157096862793,-117.16471862792969
LWLJAPATKEL8,37.88078308105469,-122.24449157714844
C1DEGMMKC7W7,31.75872039794922,-106.48693084716797
C155UU2TXCP3,41.85002899169922,-87.6500473022461
F125YU6SWK59,39.961181640625,-82.99878692626953
VPWMMPGGPJ74,39.240379333496094,-76.83941650390625
NQMVAAQUFU53,42.65258,-73.75623
FDR5YF2K32X5,41.31137,-105.5911
R8JEVL4ULGB7,39.9523811340332,-75.16361999511719
J22LNTMEDP73,34.00071,-81.03481
NCSMA19DF7E6,34.05223083496094,-118.24368286132812
TUS8D6ZGL9R3,39.95238,-75.16362
XA77NAJYELF1,41.6639404296875,-83.55520629882812
J6TWTRKC1X14,43.15478,-77.61556
EVTSTTLCEWS5,35.22257,-97.43948
CWKJEXDG79A7,39.961181640625,-82.99878692626953
NJ14V2NZYM68,42.65258,-73.75623
M9ACC5DQCNL6,41.6639404296875,-83.55520629882812
NHH3T1Z96H29,42.65258,-73.75623
M746VC6XMNH9,42.65258,-73.75623
LMCJKRFW5R81,42.65258,-73.75623
HYN3WD58HNN7,42.65258,-73.75623
CDAQNZCL6287,42.65258,-73.75623
LTJVF4QSFCP9,33.83584976196289,-118.34062957763672
TPALZA9N4M11,47.60621,-122.33207
XAJWT43U55A3,41.85002899169922,-87.6500473022461
GV31TMFLPY88,40.871490478515625,-73.456787109375
M1K8LJAET5R1,31.327119827270508,-89.29033660888672
LAGNHMC58DF3,34.04654312133789,-118.08284759521484
Q7KKMKT2ANN7,32.264381408691406,-110.94628143310547
N876TLXYGCG4,41.82398986816406,-71.41282653808594
LXEJEU58YZG6,41.844566345214844,-71.38021087646484
NTLHJXM55KZ6,33.41477,-111.90931
HJMKEF7EJW69,41.4995,-81.69541
LTNVSTJ3R6D5,42.64271545410156,-71.33453369140625
SRG2J1WS9X63,37.45383071899414,-122.18218994140625
FFM7VPAG8P92,37.30215835571289,-120.48297119140625
NPSNT86JKN51,45.5234489440918,-122.67620849609375
G389MFAYJNG9,35.08449,-106.65114
VXUFPE4MCZH5,36.97412109375,-122.03079986572266
RD7MXJV7DKT9,28.53834,-81.37924
YNT8TCJH8FQ8,40.71427,-74.00597
RSWNKK6J8CF3,47.92526,-97.03285
Q7N8CH7NR418,38.89511,-77.03637
DFNLDECWM8J8,41.08144,-81.51901
GM6EL1UH2L83,36.76578903198242,-121.75800323486328
QHF5ZZ114M72,40.71427,-74.00597
L6NFUM28LQM5,47.60621,-122.33207
JQH2GEMCAVN5,40.96342,-76.61273
F4SLJ5WF59F6,37.77493,-122.41942
M2XKLRTA9G44,41.52701187133789,-70.6732406616211
YLF2SS2NYGC5,39.095733642578125,-77.19732666015625
Z3FGN9MF92U2,44.05207,-123.08675
MVRJYL6A9VF1,38.62726974487305,-90.19789123535156
XQJNZNQZAFP3,39.92595,-75.11962
FY85DRNMJAM4,42.46036911010742,-71.34895324707031
L1DXXP1KGP77,35.9940299987793,-78.89862060546875
J3Z5MNJJ3FZ4,40.44062042236328,-79.99588775634766
KG76WYENL5K1,42.04114,-87.69006
XJ7MMPHBMGM7,41.89710235595703,-87.62161254882812
