uei,fiscal_year,paper_count,award_count
C1FBUD6HND69,2020,2,1
C1FBUD6HND69,2022,1,1
C1JHWKX12BC4,2017,6,1
C1JHWKX12BC4,2018,8,1
C1JHWKX12BC4,2019,7,1
C1JHWKX12BC4,2020,8,1
C1JHWKX12BC4,2021,17,1
C1JHWKX12BC4,2022,15,1
C1JHWKX12BC4,2023,11,1
C1JHWKX12BC4,2024,14,1
C1JHWKX12BC4,2025,29,1
C1LJLCS3PM51,2017,1,1
C1NVZ5M6E319,2021,1,2
C1NVZ5M6E319,2022,2,1
C1NVZ5M6E319,2023,1,1
C1NVZ5M6E319,2025,1,1
C31ES3WEAVQ5,2016,16,6
C31ES3WEAVQ5,2017,13,8
C31ES3WEAVQ5,2018,9,7
C31ES3WEAVQ5,2019,25,11
C31ES3WEAVQ5,2020,17,8
C31ES3WEAVQ5,2021,9,7
C31ES3WEAVQ5,2022,13,8
C31ES3WEAVQ5,2023,11,7
C31ES3WEAVQ5,2024,4,6
C31ES3WEAVQ5,2025,7,7
C36QKLWW23Y5,2024,3,1
C36QKLWW23Y5,2025,5,1
C37HLWKKAH69,2016,1,1
C37HLWKKAH69,2024,1,1
C3KXNLTAAY98,2016,603,196
C3KXNLTAAY98,2017,543,197
C3KXNLTAAY98,2018,537,208
C3KXNLTAAY98,2019,526,215
C3KXNLTAAY98,2020,579,248
C3KXNLTAAY98,2021,601,264
C3KXNLTAAY98,2022,611,274
C3KXNLTAAY98,2023,681,287
C3KXNLTAAY98,2024,712,286
C3KXNLTAAY98,2025,748,316
C3MKXMVYHKP1,2021,3,2
C3MKXMVYHKP1,2022,1,1
C3MKXMVYHKP1,2023,1,1
C3N8CJRDHDZ8,2020,1,1
C3N8CJRDHDZ8,2021,5,1
C3N8CJRDHDZ8,2022,6,1
C3N8CJRDHDZ8,2023,8,1
C3N8CJRDHDZ8,2024,8,1
C3N8CJRDHDZ8,2025,4,1
C3RVZBM9XJU8,2016,18,2
C3RVZBM9XJU8,2017,34,2
C3RVZBM9XJU8,2018,29,2
C3RVZBM9XJU8,2019,33,2
C3RVZBM9XJU8,2020,39,2
C3RVZBM9XJU8,2021,41,2
C3RVZBM9XJU8,2022,38,2
C3RVZBM9XJU8,2023,31,2
C3RVZBM9XJU8,2024,29,2
C3RVZBM9XJU8,2025,26,2
C416U5QKG723,2016,1,1
C416U5QKG723,2018,1,1
C416U5QKG723,2020,3,2
C416U5QKG723,2021,1,1
C416U5QKG723,2022,2,1
C416U5QKG723,2023,2,2
C416U5QKG723,2025,3,2
C43HHASBLCV6,2016,1,2
C43HHASBLCV6,2017,1,1
C43HHASBLCV6,2018,1,4
C43HHASBLCV6,2021,3,3
C43HHASBLCV6,2025,1,1
C48BM1W4NEE3,2024,2,2
C48BM1W4NEE3,2025,1,1
C49FLAAK6LN5,2017,1,1
C49FLAAK6LN5,2018,1,1
C49FLAAK6LN5,2022,1,1
C4BXLBC11LC6,2016,49,19
C4BXLBC11LC6,2017,53,19
C4BXLBC11LC6,2018,55,24
C4BXLBC11LC6,2019,56,30
C4BXLBC11LC6,2020,72,36
C4BXLBC11LC6,2021,103,52
