fiscal_year,agency,domain_name,field_name,allocated_funding
2023,National Institutes of Health,Physical Sciences,Chemical Engineering,10828753.914950991
2023,National Institutes of Health,Physical Sciences,Energy,2335177.994801302
2023,National Science Foundation,Social Sciences,Social Sciences,1072598238.2855104
2023,National Science Foundation,Physical Sciences,Physics and Astronomy,1057547462.815894
2023,National Science Foundation,Health Sciences,Medicine,851882275.6251652
2023,National Science Foundation,Physical Sciences,Engineering,777709897.9893692
2023,National Science Foundation,Physical Sciences,Environmental Science,513776772.6396893
2023,National Science Foundation,Life Sciences,Agricultural and Biological Sciences,438644963.8649137
2023,National Science Foundation,Physical Sciences,Earth and Planetary Sciences,371043582.24554217
2023,National Science Foundation,Physical Sciences,Computer Science,351315832.388549
2023,National Science Foundation,Social Sciences,Psychology,312031561.38631505
2023,National Science Foundation,Life Sciences,"Biochemistry, Genetics and Molecular Biology",290783656.6369307
2023,National Science Foundation,Social Sciences,Arts and Humanities,160586446.96631426
2023,National Science Foundation,Physical Sciences,Mathematics,153912330.50317702
2023,National Science Foundation,Life Sciences,Neuroscience,134114950.93721941
2023,National Science Foundation,Physical Sciences,Materials Science,130565448.45127389
2023,National Science Foundation,Health Sciences,Veterinary,125097673.32551831
2023,National Science Foundation,Social Sciences,"Economics, Econometrics and Finance",124227796.48930262
2023,National Science Foundation,Health Sciences,Health Professions,121503509.98679383
2023,National Science Foundation,Social Sciences,"Business, Management and Accounting",108525710.04708138
2023,National Science Foundation,Social Sciences,Decision Sciences,94997354.20456676
2023,National Science Foundation,Life Sciences,Immunology and Microbiology,53083664.95589312
2023,National Science Foundation,Physical Sciences,Chemistry,39046773.07273152
2023,National Science Foundation,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",11014816.982244857
2023,National Science Foundation,Health Sciences,Nursing,9052399.425659364
2023,National Science Foundation,Health Sciences,Dentistry,7189869.5922276
2023,National Science Foundation,Physical Sciences,Chemical Engineering,6688013.402404366
2023,National Science Foundation,Physical Sciences,Energy,938150.7797124512
2024,National Institutes of Health,Health Sciences,Medicine,11707189432.695168
2024,National Institutes of Health,Social Sciences,Social Sciences,3549384793.5595546
2024,National Institutes of Health,Life Sciences,"Biochemistry, Genetics and Molecular Biology",3241550285.9894423
2024,National Institutes of Health,Physical Sciences,Physics and Astronomy,1795283701.8644629
2024,National Institutes of Health,Social Sciences,Psychology,1265790701.1000364
2024,National Institutes of Health,Physical Sciences,Engineering,1119957920.0202224
2024,National Institutes of Health,Life Sciences,Neuroscience,1038181832.5119269
2024,National Institutes of Health,Life Sciences,Agricultural and Biological Sciences,970467654.0867656
2024,National Institutes of Health,Health Sciences,Health Professions,885268119.8419467
2024,National Institutes of Health,Physical Sciences,Environmental Science,810729153.7606908
2024,National Institutes of Health,Life Sciences,Immunology and Microbiology,799553177.5967346
2024,National Institutes of Health,Social Sciences,"Economics, Econometrics and Finance",698868933.9377898
2024,National Institutes of Health,Physical Sciences,Computer Science,615284875.9900743
2024,National Institutes of Health,Health Sciences,Veterinary,449801561.01635504
2024,National Institutes of Health,Physical Sciences,Mathematics,427324169.8132254
2024,National Institutes of Health,Physical Sciences,Earth and Planetary Sciences,427132865.3955158
2024,National Institutes of Health,Social Sciences,Arts and Humanities,398123112.80515265
2024,National Institutes of Health,Social Sciences,"Business, Management and Accounting",339362776.0799042
2024,National Institutes of Health,Social Sciences,Decision Sciences,320083565.65695643
2024,National Institutes of Health,Physical Sciences,Materials Science,203990797.81247514
2024,National Institutes of Health,Health Sciences,Nursing,124287093.62045963
2024,National Institutes of Health,Physical Sciences,Chemistry,119689209.39674683
2024,National Institutes of Health,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",45173498.69202789
2024,National Institutes of Health,Health Sciences,Dentistry,40680738.970303915
2024,National Institutes of Health,Physical Sciences,Chemical Engineering,10581976.05609046
2024,National Institutes of Health,Physical Sciences,Energy,2001994.5799767675
2024,National Science Foundation,Social Sciences,Social Sciences,1003321233.1414746
2024,National Science Foundation,Physical Sciences,Physics and Astronomy,973040563.6753932
2024,National Science Foundation,Health Sciences,Medicine,809193722.8368511
2024,National Science Foundation,Physical Sciences,Engineering,754367258.6850518
2024,National Science Foundation,Physical Sciences,Environmental Science,494235997.62395257
2024,National Science Foundation,Life Sciences,Agricultural and Biological Sciences,440291817.1912928
2024,National Science Foundation,Physical Sciences,Earth and Planetary Sciences,358202066.4106352
2024,National Science Foundation,Physical Sciences,Computer Science,331542977.2425567
2024,National Science Foundation,Life Sciences,"Biochemistry, Genetics and Molecular Biology",284244887.944469
2024,National Science Foundation,Social Sciences,Psychology,276043686.8910581
2024,National Science Foundation,Social Sciences,Arts and Humanities,152523218.7218254
2024,National Science Foundation,Physical Sciences,Mathematics,141818187.47053963
2024,National Science Foundation,Physical Sciences,Materials Science,131152773.86638722
2024,National Science Foundation,Life Sciences,Neuroscience,126209605.29434866
2024,National Science Foundation,Social Sciences,"Economics, Econometrics and Finance",123977388.42120045
2024,National Science Foundation,Health Sciences,Veterinary,119185369.79184996
2024,National Science Foundation,Health Sciences,Health Professions,109345950.81505649
2024,National Science Foundation,Social Sciences,"Business, Management and Accounting",101142321.39763676
2024,National Science Foundation,Social Sciences,Decision Sciences,93789373.31370443
2024,National Science Foundation,Life Sciences,Immunology and Microbiology,49249743.48927116
2024,National Science Foundation,Physical Sciences,Chemistry,35534158.95734398
2024,National Science Foundation,Health Sciences,Nursing,9797008.054326812
2024,National Science Foundation,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",8341985.466351191
2024,National Science Foundation,Physical Sciences,Chemical Engineering,5667468.911636528
2024,National Science Foundation,Health Sciences,Dentistry,4053395.997503041
2024,National Science Foundation,Physical Sciences,Energy,973925.3882831782
2025,National Institutes of Health,Health Sciences,Medicine,11890568571.65688
2025,National Institutes of Health,Social Sciences,Social Sciences,3563796544.541657
2025,National Institutes of Health,Life Sciences,"Biochemistry, Genetics and Molecular Biology",3301291300.49262
2025,National Institutes of Health,Physical Sciences,Physics and Astronomy,1842251220.5007234
2025,National Institutes of Health,Social Sciences,Psychology,1270946534.510697
2025,National Institutes of Health,Physical Sciences,Engineering,1143501545.0419917
2025,National Institutes of Health,Life Sciences,Neuroscience,1056761557.5101644
2025,National Institutes of Health,Life Sciences,Agricultural and Biological Sciences,971707142.1872108
2025,National Institutes of Health,Health Sciences,Health Professions,849633878.7651472
2025,National Institutes of Health,Physical Sciences,Environmental Science,822900573.4538816
2025,National Institutes of Health,Life Sciences,Immunology and Microbiology,772547531.4578165
2025,National Institutes of Health,Social Sciences,"Economics, Econometrics and Finance",722149551.5859928
2025,National Institutes of Health,Physical Sciences,Computer Science,620963871.0514541
2025,National Institutes of Health,Health Sciences,Veterinary,464416665.7094616
2025,National Institutes of Health,Physical Sciences,Mathematics,433121679.07840776
2025,National Institutes of Health,Physical Sciences,Earth and Planetary Sciences,431480657.3906242
2025,National Institutes of Health,Social Sciences,Arts and Humanities,416786398.1538785
2025,National Institutes of Health,Social Sciences,"Business, Management and Accounting",348469443.4639607
2025,National Institutes of Health,Social Sciences,Decision Sciences,332298507.63607466
2025,National Institutes of Health,Physical Sciences,Materials Science,206443913.57894394
2025,National Institutes of Health,Physical Sciences,Chemistry,124947751.11012311
2025,National Institutes of Health,Health Sciences,Nursing,118666011.00224856
2025,National Institutes of Health,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",42894739.99592345
2025,National Institutes of Health,Health Sciences,Dentistry,38498969.51620722
2025,National Institutes of Health,Physical Sciences,Chemical Engineering,10635251.825790364
2025,National Institutes of Health,Physical Sciences,Energy,1889406.362122197
2025,National Science Foundation,Physical Sciences,Physics and Astronomy,1038655477.7274718
2025,National Science Foundation,Social Sciences,Social Sciences,977092350.6571794
2025,National Science Foundation,Physical Sciences,Engineering,794194114.4433703
2025,National Science Foundation,Health Sciences,Medicine,782537985.451969
2025,National Science Foundation,Physical Sciences,Environmental Science,513846083.9750955
2025,National Science Foundation,Life Sciences,Agricultural and Biological Sciences,446662591.3448881
2025,National Science Foundation,Physical Sciences,Earth and Planetary Sciences,368311984.14086777
2025,National Science Foundation,Physical Sciences,Computer Science,337925503.5161919
2025,National Science Foundation,Life Sciences,"Biochemistry, Genetics and Molecular Biology",292951197.744491
2025,National Science Foundation,Social Sciences,Psychology,287775281.4272082
2025,National Science Foundation,Social Sciences,Arts and Humanities,156573180.3757775
2025,National Science Foundation,Physical Sciences,Mathematics,148151046.38541853
2025,National Science Foundation,Physical Sciences,Materials Science,135052349.61694703
2025,National Science Foundation,Life Sciences,Neuroscience,124436111.58878635
2025,National Science Foundation,Health Sciences,Veterinary,120400765.64388262
2025,National Science Foundation,Social Sciences,"Economics, Econometrics and Finance",118065503.67782639
2025,National Science Foundation,Health Sciences,Health Professions,108385016.33323053
2025,National Science Foundation,Social Sciences,"Business, Management and Accounting",107259385.84947509
2025,National Science Foundation,Social Sciences,Decision Sciences,99794330.46837279
2025,National Science Foundation,Life Sciences,Immunology and Microbiology,49934037.56120288
2025,National Science Foundation,Physical Sciences,Chemistry,34452065.90502532
2025,National Science Foundation,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",8609745.566655831
2025,National Science Foundation,Health Sciences,Nursing,8552540.420628622
2025,National Science Foundation,Physical Sciences,Chemical Engineering,5008510.881617372
2025,National Science Foundation,Health Sciences,Dentistry,3230229.060067646
2025,National Science Foundation,Physical Sciences,Energy,916755.2363526863
2026,National Institutes of Health,Health Sciences,Medicine,9210442193.60183
2026,National Institutes of Health,Social Sciences,Social Sciences,2851732392.2541347
2026,National Institutes of Health,Life Sciences,"Biochemistry, Genetics and Molecular Biology",2565628355.4271545
2026,National Institutes of Health,Physical Sciences,Physics and Astronomy,1449327291.8945153
2026,National Institutes of Health,Social Sciences,Psychology,998902197.4903618
2026,National Institutes of Health,Physical Sciences,Engineering,905039759.8576796
2026,National Institutes of Health,Life Sciences,Agricultural and Biological Sciences,810936048.4807458
2026,National Institutes of Health,Life Sciences,Neuroscience,806456893.323756
2026,National Institutes of Health,Health Sciences,Health Professions,689340659.2030729
2026,National Institutes of Health,Physical Sciences,Environmental Science,656796151.9039534
2026,National Institutes of Health,Life Sciences,Immunology and Microbiology,614391388.3418171
2026,National Institutes of Health,Social Sciences,"Economics, Econometrics and Finance",573697400.7234429
2026,National Institutes of Health,Physical Sciences,Computer Science,498221220.86068434
2026,National Institutes of Health,Health Sciences,Veterinary,381974821.49726677
2026,National Institutes of Health,Physical Sciences,Mathematics,346614339.81238294
2026,National Institutes of Health,Social Sciences,Arts and Humanities,336155358.49814594
2026,National Institutes of Health,Physical Sciences,Earth and Planetary Sciences,334318932.5475001
2026,National Institutes of Health,Social Sciences,"Business, Management and Accounting",288641066.34655404
2026,National Institutes of Health,Social Sciences,Decision Sciences,262654656.2553164
2026,National Institutes of Health,Physical Sciences,Materials Science,170040524.94050586
2026,National Institutes of Health,Health Sciences,Nursing,99307665.44609088
2026,National Institutes of Health,Physical Sciences,Chemistry,93945978.65782976
2026,National Institutes of Health,Health Sciences,Dentistry,29230330.237568766
2026,National Institutes of Health,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",28277561.147443164
2026,National Institutes of Health,Physical Sciences,Chemical Engineering,8452021.684519297
2026,National Institutes of Health,Physical Sciences,Energy,1819443.985725003
2026,National Science Foundation,Physical Sciences,Physics and Astronomy,424863201.46008056
2026,National Science Foundation,Social Sciences,Social Sciences,319731103.8996004
2026,National Science Foundation,Physical Sciences,Engineering,295403857.8520805
2026,National Science Foundation,Health Sciences,Medicine,265704168.13466156
2026,National Science Foundation,Physical Sciences,Environmental Science,190847869.273498
2026,National Science Foundation,Physical Sciences,Earth and Planetary Sciences,166341858.01746964
2026,National Science Foundation,Life Sciences,Agricultural and Biological Sciences,144201079.5126196
2026,National Science Foundation,Life Sciences,"Biochemistry, Genetics and Molecular Biology",118739989.36205785
2026,National Science Foundation,Physical Sciences,Computer Science,111949663.11278255
2026,National Science Foundation,Social Sciences,Psychology,83504039.08746177
2026,National Science Foundation,Social Sciences,Arts and Humanities,60062600.29762716
2026,National Science Foundation,Physical Sciences,Materials Science,57093073.47664778
2026,National Science Foundation,Life Sciences,Neuroscience,48369183.00655602
2026,National Science Foundation,Health Sciences,Health Professions,41713188.99195866
2026,National Science Foundation,Social Sciences,"Economics, Econometrics and Finance",37956284.91395951
2026,National Science Foundation,Physical Sciences,Mathematics,36813604.188745715
2026,National Science Foundation,Health Sciences,Veterinary,30346048.443734515
2026,National Science Foundation,Social Sciences,"Business, Management and Accounting",29404602.923889443
2026,National Science Foundation,Social Sciences,Decision Sciences,25891216.18811075
2026,National Science Foundation,Life Sciences,Immunology and Microbiology,18723674.215146255
2026,National Science Foundation,Physical Sciences,Chemistry,12195060.255105669
2026,National Science Foundation,Health Sciences,Nursing,4219847.598975838
2026,National Science Foundation,Health Sciences,Dentistry,1908973.0796533292
2026,National Science Foundation,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",1579017.646383433
2026,National Science Foundation,Physical Sciences,Chemical Engineering,1567682.4916866953
2026,National Science Foundation,Physical Sciences,Energy,383236.5695066987
