fiscal_year,agency,domain_name,field_name,allocated_funding
2017,National Institutes of Health,Physical Sciences,Chemical Engineering,6951446.210466003
2017,National Institutes of Health,Physical Sciences,Energy,787209.067735553
2017,National Science Foundation,Physical Sciences,Physics and Astronomy,869253012.1309329
2017,National Science Foundation,Social Sciences,Social Sciences,805906720.4350126
2017,National Science Foundation,Health Sciences,Medicine,703602158.893729
2017,National Science Foundation,Physical Sciences,Engineering,615114689.9502535
2017,National Science Foundation,Physical Sciences,Environmental Science,446959965.61046064
2017,National Science Foundation,Life Sciences,Agricultural and Biological Sciences,381984967.85043776
2017,National Science Foundation,Physical Sciences,Computer Science,304020780.5805788
2017,National Science Foundation,Physical Sciences,Earth and Planetary Sciences,272532712.5084692
2017,National Science Foundation,Social Sciences,Psychology,239877210.19633532
2017,National Science Foundation,Life Sciences,"Biochemistry, Genetics and Molecular Biology",238718368.4658147
2017,National Science Foundation,Physical Sciences,Mathematics,128360053.72701934
2017,National Science Foundation,Social Sciences,Arts and Humanities,123214141.06547454
2017,National Science Foundation,Life Sciences,Neuroscience,112573588.24290805
2017,National Science Foundation,Physical Sciences,Materials Science,109604616.56381212
2017,National Science Foundation,Health Sciences,Veterinary,102805145.50275049
2017,National Science Foundation,Health Sciences,Health Professions,100641038.95782107
2017,National Science Foundation,Social Sciences,"Economics, Econometrics and Finance",95377902.56414881
2017,National Science Foundation,Social Sciences,Decision Sciences,83565561.83524728
2017,National Science Foundation,Social Sciences,"Business, Management and Accounting",83293159.03993265
2017,National Science Foundation,Life Sciences,Immunology and Microbiology,41177044.65818091
2017,National Science Foundation,Physical Sciences,Chemistry,30837439.243336834
2017,National Science Foundation,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",16223377.508928254
2017,National Science Foundation,Health Sciences,Nursing,7821502.517339164
2017,National Science Foundation,Physical Sciences,Chemical Engineering,3459628.6688972916
2017,National Science Foundation,Health Sciences,Dentistry,3355150.9642847907
2017,National Science Foundation,Physical Sciences,Energy,556962.3178941715
2018,National Institutes of Health,Health Sciences,Medicine,9488152514.893345
2018,National Institutes of Health,Social Sciences,Social Sciences,2732067465.0548673
2018,National Institutes of Health,Life Sciences,"Biochemistry, Genetics and Molecular Biology",2636186786.194158
2018,National Institutes of Health,Physical Sciences,Physics and Astronomy,1402075943.8042634
2018,National Institutes of Health,Social Sciences,Psychology,1008820743.204979
2018,National Institutes of Health,Physical Sciences,Engineering,864884968.2401295
2018,National Institutes of Health,Life Sciences,Neuroscience,832464364.8338872
2018,National Institutes of Health,Life Sciences,Agricultural and Biological Sciences,742566264.0403345
2018,National Institutes of Health,Health Sciences,Health Professions,715134512.280153
2018,National Institutes of Health,Life Sciences,Immunology and Microbiology,682279778.2262313
2018,National Institutes of Health,Physical Sciences,Environmental Science,627172148.5748475
2018,National Institutes of Health,Social Sciences,"Economics, Econometrics and Finance",549751748.7935674
2018,National Institutes of Health,Physical Sciences,Computer Science,469117988.7817647
2018,National Institutes of Health,Physical Sciences,Earth and Planetary Sciences,339391457.9726586
2018,National Institutes of Health,Health Sciences,Veterinary,336231962.5149255
2018,National Institutes of Health,Physical Sciences,Mathematics,335160087.0341367
2018,National Institutes of Health,Social Sciences,Arts and Humanities,305304501.7645857
2018,National Institutes of Health,Social Sciences,Decision Sciences,259270102.6514409
2018,National Institutes of Health,Social Sciences,"Business, Management and Accounting",258782553.47490916
2018,National Institutes of Health,Physical Sciences,Materials Science,150159760.33296064
2018,National Institutes of Health,Physical Sciences,Chemistry,132013022.69141215
2018,National Institutes of Health,Health Sciences,Nursing,102632823.45359257
2018,National Institutes of Health,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",32794663.23067236
2018,National Institutes of Health,Health Sciences,Dentistry,30856150.23962623
2018,National Institutes of Health,Physical Sciences,Chemical Engineering,7860973.864033023
2018,National Institutes of Health,Physical Sciences,Energy,1279317.8525135238
2018,National Science Foundation,Physical Sciences,Physics and Astronomy,956397368.3101443
2018,National Science Foundation,Social Sciences,Social Sciences,863348263.0071844
2018,National Science Foundation,Health Sciences,Medicine,723484818.2762572
2018,National Science Foundation,Physical Sciences,Engineering,657139114.9894204
2018,National Science Foundation,Physical Sciences,Environmental Science,449801875.3792826
2018,National Science Foundation,Life Sciences,Agricultural and Biological Sciences,376105810.8656293
2018,National Science Foundation,Physical Sciences,Earth and Planetary Sciences,306380369.7959502
2018,National Science Foundation,Physical Sciences,Computer Science,294352649.6227954
2018,National Science Foundation,Life Sciences,"Biochemistry, Genetics and Molecular Biology",255953108.87763467
2018,National Science Foundation,Social Sciences,Psychology,244227883.1030818
2018,National Science Foundation,Social Sciences,Arts and Humanities,130637517.39829624
2018,National Science Foundation,Physical Sciences,Mathematics,124543501.7266165
2018,National Science Foundation,Physical Sciences,Materials Science,118031729.37646127
2018,National Science Foundation,Life Sciences,Neuroscience,116801909.36026683
2018,National Science Foundation,Health Sciences,Veterinary,102890576.41078854
2018,National Science Foundation,Health Sciences,Health Professions,102866981.01291919
2018,National Science Foundation,Social Sciences,"Economics, Econometrics and Finance",101944981.44614184
2018,National Science Foundation,Social Sciences,"Business, Management and Accounting",91481374.18130913
2018,National Science Foundation,Social Sciences,Decision Sciences,84599185.2175393
2018,National Science Foundation,Life Sciences,Immunology and Microbiology,43672751.45172977
2018,National Science Foundation,Physical Sciences,Chemistry,33158951.970750123
2018,National Science Foundation,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",13969704.606581066
2018,National Science Foundation,Health Sciences,Nursing,8929924.125361826
2018,National Science Foundation,Health Sciences,Dentistry,6060247.007381244
2018,National Science Foundation,Physical Sciences,Chemical Engineering,4323652.49143428
2018,National Science Foundation,Physical Sciences,Energy,661147.9890414117
2019,National Institutes of Health,Health Sciences,Medicine,10172799425.624645
2019,National Institutes of Health,Social Sciences,Social Sciences,3009689807.790977
2019,National Institutes of Health,Life Sciences,"Biochemistry, Genetics and Molecular Biology",2817056491.964577
2019,National Institutes of Health,Physical Sciences,Physics and Astronomy,1493355449.553675
2019,National Institutes of Health,Social Sciences,Psychology,1090805581.8028185
2019,National Institutes of Health,Physical Sciences,Engineering,918164581.9504158
2019,National Institutes of Health,Life Sciences,Neuroscience,899686380.3308386
2019,National Institutes of Health,Life Sciences,Agricultural and Biological Sciences,802368599.7438743
2019,National Institutes of Health,Health Sciences,Health Professions,778792273.8731188
2019,National Institutes of Health,Life Sciences,Immunology and Microbiology,713457443.6065667
2019,National Institutes of Health,Physical Sciences,Environmental Science,667745010.0767664
2019,National Institutes of Health,Social Sciences,"Economics, Econometrics and Finance",601715922.3872557
2019,National Institutes of Health,Physical Sciences,Computer Science,520781535.9639221
2019,National Institutes of Health,Health Sciences,Veterinary,378115130.18858397
2019,National Institutes of Health,Physical Sciences,Mathematics,370607372.39670354
2019,National Institutes of Health,Physical Sciences,Earth and Planetary Sciences,364954238.7797057
2019,National Institutes of Health,Social Sciences,Arts and Humanities,347581473.20187
2019,National Institutes of Health,Social Sciences,"Business, Management and Accounting",294696363.91582143
2019,National Institutes of Health,Social Sciences,Decision Sciences,275589091.0297844
2019,National Institutes of Health,Physical Sciences,Materials Science,159597337.99984065
2019,National Institutes of Health,Physical Sciences,Chemistry,132389754.6020946
2019,National Institutes of Health,Health Sciences,Nursing,107379339.78755082
2019,National Institutes of Health,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",36568276.41103459
2019,National Institutes of Health,Health Sciences,Dentistry,31535004.469261333
2019,National Institutes of Health,Physical Sciences,Chemical Engineering,7938600.392063953
2019,National Institutes of Health,Physical Sciences,Energy,1412209.1562222268
2019,National Science Foundation,Physical Sciences,Physics and Astronomy,972375150.4510615
2019,National Science Foundation,Social Sciences,Social Sciences,874774972.5780586
2019,National Science Foundation,Health Sciences,Medicine,738629639.814753
2019,National Science Foundation,Physical Sciences,Engineering,685429559.7491235
2019,National Science Foundation,Physical Sciences,Environmental Science,491630399.16967475
2019,National Science Foundation,Life Sciences,Agricultural and Biological Sciences,391979148.97390985
2019,National Science Foundation,Physical Sciences,Earth and Planetary Sciences,338303851.2730979
2019,National Science Foundation,Physical Sciences,Computer Science,317700172.6248377
2019,National Science Foundation,Social Sciences,Psychology,254662663.0691014
2019,National Science Foundation,Life Sciences,"Biochemistry, Genetics and Molecular Biology",254627527.80642116
2019,National Science Foundation,Social Sciences,Arts and Humanities,138017604.1762165
2019,National Science Foundation,Physical Sciences,Mathematics,130086655.59067334
2019,National Science Foundation,Life Sciences,Neuroscience,124022304.53953953
2019,National Science Foundation,Physical Sciences,Materials Science,121296712.9072164
2019,National Science Foundation,Social Sciences,"Economics, Econometrics and Finance",110371550.42964956
2019,National Science Foundation,Health Sciences,Health Professions,106687306.13347524
2019,National Science Foundation,Health Sciences,Veterinary,106460393.54201518
2019,National Science Foundation,Social Sciences,"Business, Management and Accounting",94262521.9338852
2019,National Science Foundation,Social Sciences,Decision Sciences,93033483.45689908
2019,National Science Foundation,Life Sciences,Immunology and Microbiology,43486541.00888212
2019,National Science Foundation,Physical Sciences,Chemistry,33183071.68432752
2019,National Science Foundation,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",15614903.919283569
2019,National Science Foundation,Health Sciences,Nursing,7627356.9498804845
2019,National Science Foundation,Physical Sciences,Chemical Engineering,4739209.929466952
2019,National Science Foundation,Health Sciences,Dentistry,3048166.2731347485
2019,National Science Foundation,Physical Sciences,Energy,419974.015415267
2020,National Institutes of Health,Health Sciences,Medicine,11444060134.97141
2020,National Institutes of Health,Social Sciences,Social Sciences,3272428230.2912707
2020,National Institutes of Health,Life Sciences,"Biochemistry, Genetics and Molecular Biology",3139754588.3704286
2020,National Institutes of Health,Physical Sciences,Physics and Astronomy,1640906285.2071786
2020,National Institutes of Health,Social Sciences,Psychology,1194946608.5316417
2020,National Institutes of Health,Physical Sciences,Engineering,1013044042.7995733
2020,National Institutes of Health,Life Sciences,Neuroscience,973436828.1469791
2020,National Institutes of Health,Health Sciences,Health Professions,853756891.690172
2020,National Institutes of Health,Life Sciences,Agricultural and Biological Sciences,849600433.1510664
2020,National Institutes of Health,Life Sciences,Immunology and Microbiology,815749051.8476249
2020,National Institutes of Health,Physical Sciences,Environmental Science,728307411.9508262
2020,National Institutes of Health,Social Sciences,"Economics, Econometrics and Finance",661334126.722667
2020,National Institutes of Health,Physical Sciences,Computer Science,539973694.6539736
2020,National Institutes of Health,Health Sciences,Veterinary,398907220.712999
2020,National Institutes of Health,Physical Sciences,Mathematics,396811216.0994737
2020,National Institutes of Health,Physical Sciences,Earth and Planetary Sciences,381600749.97562355
2020,National Institutes of Health,Social Sciences,Arts and Humanities,379251166.20049816
2020,National Institutes of Health,Social Sciences,"Business, Management and Accounting",307904212.2349635
2020,National Institutes of Health,Social Sciences,Decision Sciences,302005590.9978902
2020,National Institutes of Health,Physical Sciences,Materials Science,181602933.95526505
2020,National Institutes of Health,Physical Sciences,Chemistry,134625411.21046594
2020,National Institutes of Health,Health Sciences,Nursing,124856467.64205664
2020,National Institutes of Health,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",40678749.28133605
2020,National Institutes of Health,Health Sciences,Dentistry,34992009.156316206
2020,National Institutes of Health,Physical Sciences,Chemical Engineering,10160406.646017479
2020,National Institutes of Health,Physical Sciences,Energy,2343264.5522913826
2020,National Science Foundation,Physical Sciences,Physics and Astronomy,958920842.4387035
2020,National Science Foundation,Social Sciences,Social Sciences,923706028.8967092
2020,National Science Foundation,Health Sciences,Medicine,782723199.1700115
2020,National Science Foundation,Physical Sciences,Engineering,665103243.3062216
2020,National Science Foundation,Physical Sciences,Environmental Science,456719627.22097224
2020,National Science Foundation,Life Sciences,Agricultural and Biological Sciences,394271920.8440465
2020,National Science Foundation,Physical Sciences,Earth and Planetary Sciences,321629048.3245164
2020,National Science Foundation,Physical Sciences,Computer Science,319555219.642305
2020,National Science Foundation,Social Sciences,Psychology,267602361.6093949
2020,National Science Foundation,Life Sciences,"Biochemistry, Genetics and Molecular Biology",265792558.12484252
2020,National Science Foundation,Social Sciences,Arts and Humanities,143588637.33339247
2020,National Science Foundation,Physical Sciences,Mathematics,140519617.70944738
2020,National Science Foundation,Life Sciences,Neuroscience,123994222.14656088
2020,National Science Foundation,Health Sciences,Veterinary,113870063.10811862
2020,National Science Foundation,Physical Sciences,Materials Science,113616238.15164962
2020,National Science Foundation,Health Sciences,Health Professions,109957041.07534915
2020,National Science Foundation,Social Sciences,"Economics, Econometrics and Finance",109156430.98644131
2020,National Science Foundation,Social Sciences,"Business, Management and Accounting",98677270.5233457
2020,National Science Foundation,Social Sciences,Decision Sciences,91350070.79341167
2020,National Science Foundation,Life Sciences,Immunology and Microbiology,46650533.5176059
2020,National Science Foundation,Physical Sciences,Chemistry,32845088.570127953
2020,National Science Foundation,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",11136123.033413494
2020,National Science Foundation,Health Sciences,Nursing,8933434.46698437
2020,National Science Foundation,Health Sciences,Dentistry,5722388.594530986
2020,National Science Foundation,Physical Sciences,Chemical Engineering,5401835.9610295575
2020,National Science Foundation,Physical Sciences,Energy,633769.4508679864
2021,National Institutes of Health,Health Sciences,Medicine,11088188597.659342
2021,National Institutes of Health,Social Sciences,Social Sciences,3245784945.991671
2021,National Institutes of Health,Life Sciences,"Biochemistry, Genetics and Molecular Biology",3021354302.432053
2021,National Institutes of Health,Physical Sciences,Physics and Astronomy,1672339310.573769
2021,National Institutes of Health,Social Sciences,Psychology,1199505044.293218
2021,National Institutes of Health,Physical Sciences,Engineering,1021709849.1348056
2021,National Institutes of Health,Life Sciences,Neuroscience,967802553.7730893
2021,National Institutes of Health,Life Sciences,Agricultural and Biological Sciences,886762263.6030333
2021,National Institutes of Health,Health Sciences,Health Professions,827022675.681481
2021,National Institutes of Health,Life Sciences,Immunology and Microbiology,769655715.8501251
2021,National Institutes of Health,Physical Sciences,Environmental Science,739747679.4538288
2021,National Institutes of Health,Social Sciences,"Economics, Econometrics and Finance",652970267.862642
2021,National Institutes of Health,Physical Sciences,Computer Science,551414524.3610024
2021,National Institutes of Health,Health Sciences,Veterinary,413527766.10833764
2021,National Institutes of Health,Physical Sciences,Mathematics,406383952.5540098
2021,National Institutes of Health,Physical Sciences,Earth and Planetary Sciences,379175867.44371074
2021,National Institutes of Health,Social Sciences,Arts and Humanities,372752124.79178953
2021,National Institutes of Health,Social Sciences,Decision Sciences,311768889.3654376
2021,National Institutes of Health,Social Sciences,"Business, Management and Accounting",309706549.4817239
2021,National Institutes of Health,Physical Sciences,Materials Science,181176631.2787907
2021,National Institutes of Health,Physical Sciences,Chemistry,139688291.88058582
2021,National Institutes of Health,Health Sciences,Nursing,120236238.25734851
2021,National Institutes of Health,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",39313255.919295974
2021,National Institutes of Health,Health Sciences,Dentistry,36013234.07836671
2021,National Institutes of Health,Physical Sciences,Chemical Engineering,11000941.005741546
2021,National Institutes of Health,Physical Sciences,Energy,2593506.154800666
2021,National Science Foundation,Physical Sciences,Physics and Astronomy,986042624.7708163
2021,National Science Foundation,Social Sciences,Social Sciences,955006144.5254836
2021,National Science Foundation,Health Sciences,Medicine,803799458.9088386
2021,National Science Foundation,Physical Sciences,Engineering,738502337.466128
2021,National Science Foundation,Physical Sciences,Environmental Science,477293797.22377336
2021,National Science Foundation,Life Sciences,Agricultural and Biological Sciences,408616849.75925344
2021,National Science Foundation,Physical Sciences,Earth and Planetary Sciences,351682723.34921044
2021,National Science Foundation,Physical Sciences,Computer Science,337206281.1780675
2021,National Science Foundation,Life Sciences,"Biochemistry, Genetics and Molecular Biology",293635974.94809014
2021,National Science Foundation,Social Sciences,Psychology,277636472.15874344
2021,National Science Foundation,Social Sciences,Arts and Humanities,148767985.0304883
2021,National Science Foundation,Physical Sciences,Mathematics,143937908.7376801
2021,National Science Foundation,Life Sciences,Neuroscience,136329087.2066218
2021,National Science Foundation,Physical Sciences,Materials Science,123373306.78188342
2021,National Science Foundation,Health Sciences,Health Professions,112282407.19685908
2021,National Science Foundation,Health Sciences,Veterinary,110627127.12816037
2021,National Science Foundation,Social Sciences,"Economics, Econometrics and Finance",109332946.87196101
2021,National Science Foundation,Social Sciences,"Business, Management and Accounting",97300392.83533578
2021,National Science Foundation,Social Sciences,Decision Sciences,93621247.90652023
2021,National Science Foundation,Life Sciences,Immunology and Microbiology,51279871.46635069
2021,National Science Foundation,Physical Sciences,Chemistry,33490574.109135035
2021,National Science Foundation,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",11165508.989489557
2021,National Science Foundation,Health Sciences,Nursing,8282909.255736228
2021,National Science Foundation,Health Sciences,Dentistry,7760543.931712052
2021,National Science Foundation,Physical Sciences,Chemical Engineering,5258178.402367167
2021,National Science Foundation,Physical Sciences,Energy,825270.8612938914
2022,National Institutes of Health,Health Sciences,Medicine,11986408152.113169
2022,National Institutes of Health,Social Sciences,Social Sciences,3438117028.038296
2022,National Institutes of Health,Life Sciences,"Biochemistry, Genetics and Molecular Biology",3266042380.090882
2022,National Institutes of Health,Physical Sciences,Physics and Astronomy,1707713893.8265986
2022,National Institutes of Health,Social Sciences,Psychology,1284608440.8239894
2022,National Institutes of Health,Physical Sciences,Engineering,1072092399.3031712
2022,National Institutes of Health,Life Sciences,Neuroscience,1055011688.377338
2022,National Institutes of Health,Life Sciences,Agricultural and Biological Sciences,960436726.8111315
2022,National Institutes of Health,Health Sciences,Health Professions,894363046.5415549
2022,National Institutes of Health,Life Sciences,Immunology and Microbiology,820427977.3624883
2022,National Institutes of Health,Physical Sciences,Environmental Science,801823586.1889197
2022,National Institutes of Health,Social Sciences,"Economics, Econometrics and Finance",691195132.7112855
2022,National Institutes of Health,Physical Sciences,Computer Science,592537296.6910473
2022,National Institutes of Health,Health Sciences,Veterinary,436221523.9938575
2022,National Institutes of Health,Physical Sciences,Mathematics,428540096.563883
2022,National Institutes of Health,Physical Sciences,Earth and Planetary Sciences,410944148.95696956
2022,National Institutes of Health,Social Sciences,Arts and Humanities,394824458.1894934
2022,National Institutes of Health,Social Sciences,"Business, Management and Accounting",324547523.6740476
2022,National Institutes of Health,Social Sciences,Decision Sciences,320674406.0238514
2022,National Institutes of Health,Physical Sciences,Materials Science,197193887.29584333
2022,National Institutes of Health,Physical Sciences,Chemistry,162094092.26505136
2022,National Institutes of Health,Health Sciences,Nursing,122401012.91515584
2022,National Institutes of Health,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",46882033.69600974
2022,National Institutes of Health,Health Sciences,Dentistry,37643447.11729301
2022,National Institutes of Health,Physical Sciences,Chemical Engineering,10611039.374599844
2022,National Institutes of Health,Physical Sciences,Energy,2219045.7640704866
2022,National Science Foundation,Physical Sciences,Physics and Astronomy,1037643940.2575465
2022,National Science Foundation,Social Sciences,Social Sciences,989490923.5192546
2022,National Science Foundation,Health Sciences,Medicine,824360368.850765
2022,National Science Foundation,Physical Sciences,Engineering,745716180.577179
2022,National Science Foundation,Physical Sciences,Environmental Science,502678893.63926363
2022,National Science Foundation,Life Sciences,Agricultural and Biological Sciences,435436626.4366738
2022,National Science Foundation,Physical Sciences,Earth and Planetary Sciences,347619053.8588026
2022,National Science Foundation,Physical Sciences,Computer Science,339743046.8146737
2022,National Science Foundation,Life Sciences,"Biochemistry, Genetics and Molecular Biology",296741047.78660077
2022,National Science Foundation,Social Sciences,Psychology,289494157.0677711
2022,National Science Foundation,Social Sciences,Arts and Humanities,157982566.8156083
2022,National Science Foundation,Physical Sciences,Mathematics,145152015.72086602
2022,National Science Foundation,Life Sciences,Neuroscience,138306346.47405002
2022,National Science Foundation,Physical Sciences,Materials Science,130804130.19353466
2022,National Science Foundation,Health Sciences,Veterinary,121249126.09677188
2022,National Science Foundation,Health Sciences,Health Professions,113991407.33334267
2022,National Science Foundation,Social Sciences,"Economics, Econometrics and Finance",112857559.40566903
2022,National Science Foundation,Social Sciences,"Business, Management and Accounting",102251216.85752173
2022,National Science Foundation,Social Sciences,Decision Sciences,92715885.59110358
2022,National Science Foundation,Life Sciences,Immunology and Microbiology,52614317.90140063
2022,National Science Foundation,Physical Sciences,Chemistry,34849581.25917932
2022,National Science Foundation,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",12431331.357536692
2022,National Science Foundation,Health Sciences,Nursing,8421339.951029511
2022,National Science Foundation,Physical Sciences,Chemical Engineering,5649540.846978367
2022,National Science Foundation,Health Sciences,Dentistry,5484282.857810353
2022,National Science Foundation,Physical Sciences,Energy,1044902.5290666377
2023,National Institutes of Health,Health Sciences,Medicine,11815896010.073576
2023,National Institutes of Health,Social Sciences,Social Sciences,3565018232.9613295
2023,National Institutes of Health,Life Sciences,"Biochemistry, Genetics and Molecular Biology",3238137031.678412
2023,National Institutes of Health,Physical Sciences,Physics and Astronomy,1817326053.6896014
2023,National Institutes of Health,Social Sciences,Psychology,1307866858.5891724
2023,National Institutes of Health,Physical Sciences,Engineering,1122377200.5200462
2023,National Institutes of Health,Life Sciences,Neuroscience,1060279899.567455
2023,National Institutes of Health,Life Sciences,Agricultural and Biological Sciences,997258545.7756425
2023,National Institutes of Health,Health Sciences,Health Professions,874332828.0781318
2023,National Institutes of Health,Physical Sciences,Environmental Science,817787959.1596948
2023,National Institutes of Health,Life Sciences,Immunology and Microbiology,782512433.2195637
2023,National Institutes of Health,Social Sciences,"Economics, Econometrics and Finance",701608328.9803658
2023,National Institutes of Health,Physical Sciences,Computer Science,609612188.6114501
2023,National Institutes of Health,Health Sciences,Veterinary,452680754.8925064
2023,National Institutes of Health,Physical Sciences,Mathematics,445277298.8612997
2023,National Institutes of Health,Social Sciences,Arts and Humanities,413745018.34957886
2023,National Institutes of Health,Physical Sciences,Earth and Planetary Sciences,413466815.6225407
2023,National Institutes of Health,Social Sciences,"Business, Management and Accounting",344246204.2512202
2023,National Institutes of Health,Social Sciences,Decision Sciences,331013072.2022973
2023,National Institutes of Health,Physical Sciences,Materials Science,211260495.44140056
2023,National Institutes of Health,Physical Sciences,Chemistry,127402234.02511644
2023,National Institutes of Health,Health Sciences,Nursing,122245260.49087328
2023,National Institutes of Health,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",48014627.89052134
2023,National Institutes of Health,Health Sciences,Dentistry,41608804.38844195
