uei,fiscal_year,works_count,cited_by_count
C3KXNLTAAY98,2019,2373.0,76068.0
C3KXNLTAAY98,2020,2863.0,86075.0
C3KXNLTAAY98,2021,2940.0,209218.0
C3KXNLTAAY98,2022,2780.0,45999.0
C3KXNLTAAY98,2023,3047.0,33145.0
C3KXNLTAAY98,2024,3037.0,19972.0
C3KXNLTAAY98,2025,3149.0,7342.0
C3KXNLTAAY98,2026,1471.0,224.0
C4BXLBC11LC6,2016,2073.0,74496.0
C4BXLBC11LC6,2017,2071.0,79168.0
C4BXLBC11LC6,2018,2223.0,66932.0
C4BXLBC11LC6,2019,2086.0,79339.0
C4BXLBC11LC6,2020,2687.0,60624.0
C4BXLBC11LC6,2021,2234.0,54112.0
C4BXLBC11LC6,2022,2344.0,40355.0
C4BXLBC11LC6,2023,2408.0,19859.0
C4BXLBC11LC6,2024,2715.0,14843.0
C4BXLBC11LC6,2025,2642.0,4383.0
C4BXLBC11LC6,2026,1219.0,188.0
C5LHMPRJ9J19,2016,389.0,55924.0
C5LHMPRJ9J19,2017,460.0,22510.0
C5LHMPRJ9J19,2018,523.0,28056.0
C5LHMPRJ9J19,2019,564.0,27247.0
C5LHMPRJ9J19,2020,779.0,44711.0
C5LHMPRJ9J19,2021,835.0,30869.0
C5LHMPRJ9J19,2022,898.0,18004.0
C5LHMPRJ9J19,2023,788.0,10969.0
C5LHMPRJ9J19,2024,719.0,5448.0
C5LHMPRJ9J19,2025,735.0,2234.0
C5LHMPRJ9J19,2026,366.0,83.0
C6T9BYG5EYX5,2016,1422.0,50293.0
C6T9BYG5EYX5,2017,1432.0,41139.0
C6T9BYG5EYX5,2018,1708.0,47203.0
C6T9BYG5EYX5,2019,1664.0,41574.0
C6T9BYG5EYX5,2020,2039.0,39412.0
C6T9BYG5EYX5,2021,1972.0,28086.0
C6T9BYG5EYX5,2022,2105.0,22245.0
C6T9BYG5EYX5,2023,2342.0,15415.0
C6T9BYG5EYX5,2024,2716.0,10106.0
C6T9BYG5EYX5,2025,2532.0,4055.0
C6T9BYG5EYX5,2026,1168.0,219.0
C8H9CNG1VBD9,2016,5646.0,342481.0
C8H9CNG1VBD9,2017,5946.0,314213.0
C8H9CNG1VBD9,2018,6359.0,321125.0
C8H9CNG1VBD9,2019,7259.0,284225.0
C8H9CNG1VBD9,2020,9195.0,424194.0
C8H9CNG1VBD9,2021,9844.0,281258.0
C8H9CNG1VBD9,2022,16251.0,185895.0
C8H9CNG1VBD9,2023,11701.0,140988.0
C8H9CNG1VBD9,2024,10844.0,78795.0
C8H9CNG1VBD9,2025,9858.0,29316.0
C8H9CNG1VBD9,2026,4643.0,1172.0
C9MRZK4B7K39,2016,3.0,108.0
C9MRZK4B7K39,2018,3.0,154.0
C9MRZK4B7K39,2020,1.0,4.0
C9MRZK4B7K39,2021,6.0,115.0
C9MRZK4B7K39,2022,9.0,121.0
C9MRZK4B7K39,2023,15.0,103.0
C9MRZK4B7K39,2024,17.0,102.0
C9MRZK4B7K39,2025,16.0,39.0
C9MRZK4B7K39,2026,8.0,0.0
CDAQNZCL6287,2016,0.14459960135038796,1.3736962128286856
CDAQNZCL6287,2017,0.07229980067519398,0.5060986047263578
CDAQNZCL6287,2018,0.14459960135038796,14.89375893908996
CDAQNZCL6287,2019,0.21689940202558194,4.193388439161251
CDAQNZCL6287,2020,0.14459960135038796,2.4581932229565955
CDAQNZCL6287,2021,0.14459960135038796,0.9398974087775218
CDAQNZCL6287,2022,0.5783984054015519,9.109774885074442
CDAQNZCL6287,2023,0.8675976081023278,3.253491030383729
CDAQNZCL6287,2024,0.8675976081023278,4.193388439161251
CDAQNZCL6287,2025,0.5783984054015519,0.7952978074271337
CDAQNZCL6287,2026,0.7952978074271337,0.14459960135038796
CFMMM5JM7HJ9,2016,2707.0,84072.0
CFMMM5JM7HJ9,2017,2909.0,78994.0
CFMMM5JM7HJ9,2018,3033.0,93028.0
CFMMM5JM7HJ9,2019,3100.0,70500.0
CFMMM5JM7HJ9,2020,3622.0,68012.0
CFMMM5JM7HJ9,2021,4187.0,53436.0
CFMMM5JM7HJ9,2022,3090.0,37736.0
CFMMM5JM7HJ9,2023,3004.0,26286.0
CFMMM5JM7HJ9,2024,2878.0,15915.0
CFMMM5JM7HJ9,2025,2746.0,7391.0
CFMMM5JM7HJ9,2026,1162.0,288.0
CGCDJ24JJLZ1,2016,293.5744972059002,15117.955036194802
CGCDJ24JJLZ1,2017,319.9627074851231,15920.871780865704
CGCDJ24JJLZ1,2018,340.19517745907274,14662.928144364565
CGCDJ24JJLZ1,2019,360.1560706548486,12500.54331095188
