uei,name,city,state_code,fiscal_year,agency,total_obligations,award_count
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2016,Department of Defense,152360.0,3
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2016,National Institutes of Health,5194889.0,17
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2016,National Science Foundation,494364.0,7
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2017,Department of Defense,80087.0,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2017,Department of the Army,0.0,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2017,National Aeronautics and Space Administration,126320.0,1
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2017,National Institutes of Health,4490892.0,15
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2017,National Science Foundation,4135958.0,8
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2018,Department of the Army,335072.0,1
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2018,National Institutes of Health,6303926.0,12
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2018,National Science Foundation,521345.0,4
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2019,Department of the Army,642281.0,2
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2019,National Aeronautics and Space Administration,45396.0,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2019,National Institutes of Health,8121069.0,10
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2019,National Science Foundation,3060681.0,11
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2020,Department of Energy,132285.0,1
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2020,Department of the Army,661393.0,1
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2020,National Aeronautics and Space Administration,0.0,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2020,National Institutes of Health,8406539.0,10
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2020,National Science Foundation,3952985.0,12
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2021,Department of Energy,0.0,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2021,Department of the Army,35652.020000000004,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2021,Department of the Navy,246442.0,1
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2021,National Aeronautics and Space Administration,39756.0,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2021,National Institutes of Health,6406572.0,6
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2021,National Science Foundation,4259940.0,15
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2022,Department of Energy,0.0,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2022,Department of the Army,175000.0,1
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2022,Department of the Navy,0.0,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2022,National Aeronautics and Space Administration,0.0,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2022,National Institutes of Health,8122727.119999999,8
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2022,National Science Foundation,3251692.0,10
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2023,Department of Energy,875000.0,1
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2023,Department of the Army,956017.0,1
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2023,National Aeronautics and Space Administration,0.0,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2023,National Institutes of Health,8060427.620000001,8
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2023,National Science Foundation,3324565.0,10
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2024,Defense Health Agency,145500.0,1
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2024,Department of Energy,0.0,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2024,Department of the Army,1124999.0,1
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2024,Department of the Navy,-3.13,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2024,National Institutes of Health,3039208.6799999997,2
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2024,National Science Foundation,5995733.0,14
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2025,Defense Health Agency,0.0,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2025,Department of Energy,-1618.77,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2025,Department of the Army,340100.0,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2025,National Aeronautics and Space Administration,-670.55,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2025,National Institutes of Health,3512592.0700000003,2
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2025,National Science Foundation,979846.0,1
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2026,Department of the Army,876000.0,1
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2026,National Institutes of Health,5069945.63,4
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2026,National Science Foundation,-135477.0,0
C148TBZATPA8,EMMA PENDLETON BRADLEY HOSPITAL,RIVERSIDE,RI,2016,National Institutes of Health,1603938.0,5
C148TBZATPA8,EMMA PENDLETON BRADLEY HOSPITAL,RIVERSIDE,RI,2017,National Institutes of Health,3202826.0,5
C148TBZATPA8,EMMA PENDLETON BRADLEY HOSPITAL,RIVERSIDE,RI,2018,National Institutes of Health,4443765.0,3
C148TBZATPA8,EMMA PENDLETON BRADLEY HOSPITAL,RIVERSIDE,RI,2019,National Institutes of Health,6577870.0,3
C148TBZATPA8,EMMA PENDLETON BRADLEY HOSPITAL,RIVERSIDE,RI,2020,National Institutes of Health,1341710.0,4
C148TBZATPA8,EMMA PENDLETON BRADLEY HOSPITAL,RIVERSIDE,RI,2021,National Institutes of Health,2425357.0,5
C148TBZATPA8,EMMA PENDLETON BRADLEY HOSPITAL,RIVERSIDE,RI,2022,National Institutes of Health,6397370.0,6
C148TBZATPA8,EMMA PENDLETON BRADLEY HOSPITAL,RIVERSIDE,RI,2023,National Institutes of Health,7871684.09,4
C148TBZATPA8,EMMA PENDLETON BRADLEY HOSPITAL,RIVERSIDE,RI,2024,National Institutes of Health,7224178.0200000005,5
C148TBZATPA8,EMMA PENDLETON BRADLEY HOSPITAL,RIVERSIDE,RI,2025,National Institutes of Health,11869189.959999999,2
C148TBZATPA8,EMMA PENDLETON BRADLEY HOSPITAL,RIVERSIDE,RI,2026,National Institutes of Health,1691390.32,2
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2016,Department of Defense,-19434.0,3
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2016,National Institutes of Health,60175079.0,101
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2017,National Institutes of Health,50798581.0,55
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2018,National Institutes of Health,52307983.0,26
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2019,National Institutes of Health,41805254.0,20
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2020,National Aeronautics and Space Administration,265998.0,1
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2020,National Institutes of Health,55038287.0,28
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2020,National Science Foundation,74955.0,1
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2021,National Institutes of Health,72967423.0,34
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2022,National Aeronautics and Space Administration,665237.33,1
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2022,National Institutes of Health,74784775.74000001,40
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2023,National Aeronautics and Space Administration,209000.0,0
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2023,National Institutes of Health,67910878.63999999,18
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2024,National Aeronautics and Space Administration,137237.33000000002,0
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2024,National Institutes of Health,61702684.769999996,22
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2024,National Science Foundation,25638.0,1
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2025,National Aeronautics and Space Administration,-25401.64,0
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2025,National Institutes of Health,58718231.17,12
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2026,National Aeronautics and Space Administration,647602.0,1
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,2026,National Institutes of Health,37595973.59,9
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2016,National Institutes of Health,2316967.0,3
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2016,National Science Foundation,937148.0,11
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2017,Department of Energy,0.0,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2017,National Aeronautics and Space Administration,50000.0,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2017,National Institutes of Health,1969097.0,0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2017,National Science Foundation,2473958.0,14
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2018,Department of Energy,2317562.71,3
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2018,Department of the Army,-58.0,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2018,Environmental Protection Agency,199878.0,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2018,National Aeronautics and Space Administration,231390.66999999998,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2018,National Institutes of Health,2215532.0,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2018,National Science Foundation,4032832.0,14
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2019,Department of Energy,322045.0,0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2019,National Aeronautics and Space Administration,100000.0,0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2019,National Institutes of Health,5139468.0,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2019,National Science Foundation,4628829.0,9
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2020,Department of Energy,3917281.0,2
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2020,Department of the Army,290000.0,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2020,Environmental Protection Agency,495006.0,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2020,National Aeronautics and Space Administration,260542.33,0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2020,National Institutes of Health,10812755.0,3
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2020,National Science Foundation,5536935.0,11
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2021,Department of Energy,3510000.0,2
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2021,Department of the Air Force,598977.0,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2021,National Aeronautics and Space Administration,274898.28,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2021,National Institutes of Health,6795986.46,3
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2021,National Science Foundation,6360937.0,12
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2022,Department of Energy,749956.0,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2022,Department of the Army,0.0,0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2022,National Aeronautics and Space Administration,49259.0,2
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2022,National Institutes of Health,5571062.28,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2022,National Science Foundation,4552825.0,7
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2023,Defense Health Agency,0.0,0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2023,Department of Energy,0.0,0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2023,Department of the Army,564865.0,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2023,National Aeronautics and Space Administration,123856.0,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2023,National Institutes of Health,2846448.0,0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2023,National Science Foundation,4632463.0,10
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2024,Department of Energy,1829494.46,2
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2024,Department of the Air Force,0.0,0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2024,Department of the Army,684912.4299999999,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2024,National Aeronautics and Space Administration,687669.73,2
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2024,National Institutes of Health,716425.98,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2024,National Science Foundation,9293619.0,18
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2025,Department of Energy,-258668.45,0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2025,Department of the Army,686748.0700000001,1
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2025,Environmental Protection Agency,0.0,0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2025,National Aeronautics and Space Administration,477951.0,0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2025,National Institutes of Health,255561.94,0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2025,National Science Foundation,4584582.0,8
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2026,Department of Energy,0.0,0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2026,Department of the Army,1073937.67,2
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2026,National Aeronautics and Space Administration,-364107.47,0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2026,National Institutes of Health,50365.340000000026,0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2026,National Science Foundation,-670139.0,2
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2016,National Institutes of Health,18272962.0,42
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2016,National Science Foundation,352120.0,1
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2017,Defense Advanced Research Projects Agency,500000.0,1
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2017,National Institutes of Health,15937896.0,21
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2017,National Science Foundation,1155088.0,1
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2018,National Institutes of Health,14459549.0,11
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2018,National Science Foundation,1077182.0,1
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2019,Department of the Army,-626.0,1
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2019,National Institutes of Health,9224243.0,4
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2020,National Institutes of Health,9990104.0,7
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2020,National Science Foundation,1200000.0,1
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2021,National Institutes of Health,9822753.0,10
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2021,National Science Foundation,736207.0,1
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2022,National Institutes of Health,11230338.25,6
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2022,National Science Foundation,17500.0,1
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2023,National Institutes of Health,10849878.12,7
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2023,National Science Foundation,377300.0,0
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2024,National Institutes of Health,10810102.940000001,7
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2024,National Science Foundation,382869.0,0
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2025,National Institutes of Health,10510512.66,4
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,2026,National Institutes of Health,11443623.55,3
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2016,Department of Defense,190998.0,1
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2016,National Aeronautics and Space Administration,1079415.0,2
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2016,National Institutes of Health,2805703.0,7
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2016,National Science Foundation,3139083.0,8
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2017,Department of the Air Force,86191.0,1
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2017,Department of the Army,-61222.0,1
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2017,Department of the Navy,195584.0,0
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2017,National Aeronautics and Space Administration,1039190.37,0
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2017,National Institutes of Health,4213051.0,4
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2017,National Science Foundation,2661353.0,4
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2018,Department of the Air Force,107077.0,0
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2018,National Aeronautics and Space Administration,896387.63,0
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2018,National Institutes of Health,3450285.0,4
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2018,National Science Foundation,3569494.0,7
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2019,Defense Contract Management Agency,0.0,0
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2019,Department of the Air Force,82763.0,0
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2019,Department of the Army,600000.0,1
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2019,National Institutes of Health,2985046.0,0
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2019,National Science Foundation,2650627.0,6
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2020,Department of the Air Force,0.0,0
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2020,Department of the Army,246218.4,1
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2020,Department of the Navy,192282.04,1
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2020,National Aeronautics and Space Administration,195000.0,1
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2020,National Institutes of Health,3239585.0,1
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2020,National Science Foundation,3025305.0,7
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2021,Department of the Army,0.0,0
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2021,Department of the Navy,173000.0,0
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2021,National Aeronautics and Space Administration,341809.0,1
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2021,National Institutes of Health,3274309.0,2
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2021,National Science Foundation,4418537.0,8
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2022,Department of the Navy,180184.0,0
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2022,National Aeronautics and Space Administration,49998.37,0
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2022,National Institutes of Health,1784582.8800000001,3
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2022,National Science Foundation,6309478.0,10
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2023,Defense Contract Management Agency,0.0,0
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,2023,Department of Energy,1812049.0,4
